Reaction_No,Reactant_1,Reactant_2,Ligand,Base,Solvent,Yield
1,"1a, 6-Cl-Q","2a, Boronic Acid","L1.0, P(tBu)3","B8, NaOH","S3, MeCN",0.047641
2,"1a, 6-Cl-Q","2a, Boronic Acid","L2, P(Ph)3 ","B8, NaOH","S3, MeCN",0.04121
3,"1a, 6-Cl-Q","2a, Boronic Acid","L3, P(Ph)3 ","B8, NaOH","S3, MeCN",0.025838
4,"1a, 6-Cl-Q","2a, Boronic Acid","L4, P(Cy)3","B8, NaOH","S3, MeCN",0.044432
5,"1a, 6-Cl-Q","2a, Boronic Acid","L5, P(o-Tol)3","B8, NaOH","S3, MeCN",0.019499
6,"1a, 6-Cl-Q","2a, Boronic Acid","L6, CataCXium A","B8, NaOH","S3, MeCN",0.032508
7,"1a, 6-Cl-Q","2a, Boronic Acid","L7, SPhos","B8, NaOH","S3, MeCN",0.862621
8,"1a, 6-Cl-Q","2a, Boronic Acid","L8, dtbpf","B8, NaOH","S3, MeCN",0.075461
9,"1a, 6-Cl-Q","2a, Boronic Acid","L9, XPhos","B8, NaOH","S3, MeCN",0.936745
10,"1a, 6-Cl-Q","2a, Boronic Acid","L10, dppf","B8, NaOH","S3, MeCN",0.143214
11,"1a, 6-Cl-Q","2a, Boronic Acid","L11, Xantphos","B8, NaOH","S3, MeCN",0.021083
12,"1a, 6-Cl-Q","2a, Boronic Acid","L12, None","B8, NaOH","S3, MeCN",0.170852
13,"1a, 6-Cl-Q","2a, Boronic Acid","L1.0, P(tBu)3","B7, NaHCO3","S3, MeCN",0.031577
14,"1a, 6-Cl-Q","2a, Boronic Acid","L2, P(Ph)3 ","B7, NaHCO3","S3, MeCN",0.047538
15,"1a, 6-Cl-Q","2a, Boronic Acid","L3, P(Ph)3 ","B7, NaHCO3","S3, MeCN",0.024618
16,"1a, 6-Cl-Q","2a, Boronic Acid","L4, P(Cy)3","B7, NaHCO3","S3, MeCN",0.052671
17,"1a, 6-Cl-Q","2a, Boronic Acid","L5, P(o-Tol)3","B7, NaHCO3","S3, MeCN",0.019563
18,"1a, 6-Cl-Q","2a, Boronic Acid","L6, CataCXium A","B7, NaHCO3","S3, MeCN",0.033471
19,"1a, 6-Cl-Q","2a, Boronic Acid","L7, SPhos","B7, NaHCO3","S3, MeCN",0.692209
