Benchmark,time,Nexps,objective,operating time ratio of the reactors,scheduling mode,Nreactors,operating time ratio of the analyzers,condition,random_seed
B,80.61265071,28,0.195853807,0.57465245,SRO,1,0.486276033,"[[2.0, 1.0, 0.5, 140.0]]",4313
B,87.370149,31,0.224168362,0.557184762,SRO,1,0.496737164,"[[2.0, 1.0, 0.5, 140.0]]",2929
B,91.6509736,32,0.207269378,0.569846472,SRO,1,0.488810956,"[[2.0, 1.0, 0.45836083889007573, 140.0]]",8313
B,91.02601656,32,0.224702074,0.562086335,SRO,1,0.492166984,"[[2.0, 1.0, 0.5, 140.0]]",9494
B,102.0183812,35,0.214842469,0.57232803,SRO,1,0.480305602,"[[2.0, 1.0, 0.5, 140.0]]",6444
B,84.93136484,30,0.240499584,0.56354029,SRO,1,0.494516956,"[[2.0, 1.0, 0.5, 127.73293018341064]]",5427
B,92.81955027,33,0.196116063,0.569965985,SRO,1,0.497739968,"[[2.0, 1.0, 0.5, 140.0]]",7140
B,102.1001764,35,0.219116568,0.572996265,SRO,1,0.479920816,"[[2.0, 1.0, 0.5, 135.2816343307495]]",4889
B,84.33424045,30,0.233472023,0.56868074,SRO,1,0.498018359,"[[2.0, 1.0, 0.5, 140.0]]",247
B,69.75117768,25,0.190395692,0.566760212,SRO,1,0.501783642,"[[2.0, 1.0, 0.5, 140.0]]",9311
B,75.56639069,27,0.212443132,0.571181657,SRO,1,0.500222383,"[[2.0, 1.0, 0.5, 133.53284358978271]]",7453
B,52.48501472,18,0.229772843,0.629580415,SRO,1,0.480137047,"[[2.0, 1.0, 0.4571546792984009, 140.0]]",4054
B,91.33297123,32,0.202546409,0.565450171,SRO,1,0.490512894,"[[2.0, 1.0, 0.5, 140.0]]",742
B,76.92094031,27,0.220176644,0.571057098,SRO,1,0.491413649,"[[2.0, 1.0, 0.5, 139.75242137908936]]",4945
B,80.95564129,28,0.230918143,0.570926858,SRO,1,0.484215792,"[[2.0, 1.0, 0.5, 125.99393367767334]]",9623
B,98.3067273,35,0.22849996,0.563578509,SRO,1,0.498439948,"[[2.0, 1.0, 0.45862071514129643, 140.0]]",5966
B,69.11517086,24,0.230311793,0.605504831,SRO,1,0.486145076,"[[1.8344790935516357, 1.0, 0.4802578926086426, 140.0]]",3130
B,93.99105952,33,0.206251403,0.564489848,SRO,1,0.491536112,"[[2.0, 1.0, 0.5, 140.0]]",6574
B,90.23746435,32,0.2184501,0.563553603,SRO,1,0.496467851,"[[1.8253012001514435, 1.0, 0.5, 140.0]]",9297
B,118.2208652,42,0.236105314,0.551610858,SRO,1,0.49737413,"[[1.7653920948505402, 1.0, 0.5, 140.0]]",6622
B,77.56918252,27,0.217149809,0.581257005,SRO,1,0.487306927,"[[2.0, 1.0, 0.5, 128.9191436767578]]",5710
B,63.60943648,24,0.238587257,0.533098354,SRO,1,0.528223513,"[[2.0, 1.0, 0.5, 140.0]]",9452
B,88.1359068,30,0.232514039,0.578046302,SRO,1,0.476536766,"[[2.0, 1.0, 0.5, 132.8559398651123]]",8451
B,96.65493954,33,0.22631311,0.575973678,SRO,1,0.477989022,"[[2.0, 1.0, 0.4859438180923462, 140.0]]",4203
B,83.63133314,29,0.214102786,0.585430786,SRO,1,0.485463982,"[[1.9226599335670471, 1.0, 0.5, 134.37419414520264]]",7692
B,97.9887783,34,0.211179896,0.574080989,SRO,1,0.48576991,"[[2.0, 1.0, 0.5, 140.0]]",9181
B,61.21500567,22,0.209891872,0.590448966,SRO,1,0.503144607,"[[2.0, 1.0, 0.5, 140.0]]",2103
B,81.10609522,29,0.214763313,0.564728054,SRO,1,0.500578901,"[[2.0, 1.0, 0.5, 136.53964042663574]]",8879
B,97.12680911,34,0.235101842,0.56888705,SRO,1,0.490080962,"[[2.0, 1.0, 0.4892514705657959, 129.76462364196777]]",5459
B,80.29925228,28,0.215028827,0.576376653,SRO,1,0.488173911,"[[2.0, 1.0, 0.48660955429077146, 140.0]]",1449
B,60.49280302,27,0.214027144,0.365308388,SRBA,2,0.624867722,"[[2.0, 1.0, 0.5, 138.3742904663086]]",4313
B,63.23260555,28,0.221526702,0.360684437,SRBA,2,0.619933334,"[[2.0, 1.0, 0.5, 140.0]]",2929
B,59.30896679,26,0.225345926,0.37219637,SRBA,2,0.61373519,"[[2.0, 1.0, 0.5, 140.0]]",8313
B,61.57118667,27,0.230445061,0.366309459,SRBA,2,0.613923526,"[[2.0, 1.0, 0.5, 140.0]]",9494
B,79.73017091,35,0.206848682,0.348690892,SRBA,2,0.61457287,"[[2.0, 1.0, 0.5, 140.0]]",6444
B,78.96748661,34,0.203579397,0.353834496,SRBA,2,0.602779727,"[[2.0, 1.0, 0.5, 135.9522247314453]]",5427
B,73.04833581,32,0.195401232,0.368971243,SRBA,2,0.613292548,"[[2.0, 1.0, 0.5, 140.0]]",7140
B,58.30157142,26,0.205198675,0.342747126,SRBA,2,0.624339947,"[[2.0, 1.0, 0.5, 140.0]]",4889
B,70.35952871,32,0.230336453,0.360329664,SRBA,2,0.636729677,"[[2.0, 1.0, 0.5, 140.0]]",247
B,61.84837832,28,0.20831214,0.349418879,SRBA,2,0.633808049,"[[2.0, 1.0, 0.5, 135.79622268676758]]",9311
B,68.34144357,30,0.21633787,0.369840722,SRBA,2,0.614561206,"[[1.915710061788559, 1.0, 0.5, 140.0]]",7453
B,58.09230332,25,0.215086901,0.359397688,SRBA,2,0.602489452,"[[2.0, 1.0, 0.5, 140.0]]",4054
B,79.17726035,36,0.217367216,0.343170416,SRBA,2,0.636546399,"[[2.0, 1.0, 0.5, 140.0]]",742
B,76.36807247,34,0.22928826,0.360524419,SRBA,2,0.623297125,"[[2.0, 1.0, 0.5, 135.50170421600342]]",4945
B,77.08117669,34,0.230817521,0.35176383,SRBA,2,0.617530791,"[[1.8432226479053497, 1.0, 0.5, 140.0]]",9623
B,67.94369078,30,0.21056869,0.36185972,SRBA,2,0.618158942,"[[1.9865638315677643, 1.0, 0.5, 140.0]]",5966
B,77.58672863,34,0.218236845,0.373815947,SRBA,2,0.613506986,"[[2.0, 1.0, 0.4631021022796631, 140.0]]",3130
B,57.76713385,26,0.231861434,0.368987391,SRBA,2,0.630116081,"[[2.0, 1.0, 0.44005212783813474, 140.0]]",6574
B,75.75925895,34,0.219952848,0.378673125,SRBA,2,0.62830604,"[[2.0, 1.0, 0.5, 140.0]]",9297
B,53.92040202,26,0.224691149,0.322600411,SRBA,2,0.675069151,"[[1.9950389862060547, 1.0, 0.5, 140.0]]",6622
B,91.83972009,40,0.216119441,0.379328925,SRBA,2,0.609757956,"[[2.0, 1.0, 0.5, 130.74120998382568]]",5710
B,72.3235276,32,0.217732969,0.353184896,SRBA,2,0.619438812,"[[2.0, 1.0, 0.5, 140.0]]",9452
B,50.97386508,23,0.208695525,0.337786595,SRBA,2,0.631696261,"[[2.0, 1.0, 0.5, 140.0]]",8451
B,62.75120714,28,0.184035366,0.352277521,SRBA,2,0.624689178,"[[2.0, 1.0, 0.5, 140.0]]",4203
B,72.96491687,32,0.218299199,0.369897224,SRBA,2,0.61399371,"[[2.0, 1.0, 0.5, 140.0]]",7692
B,81.83304573,36,0.233303425,0.382180337,SRBA,2,0.615888112,"[[1.991001009941101, 1.0, 0.5, 140.0]]",9181
B,63.5926273,28,0.212339188,0.369788001,SRBA,2,0.616423659,"[[2.0, 1.0, 0.5, 140.0]]",2103
B,93.21729006,40,0.21233018,0.370548789,SRBA,2,0.600746921,"[[2.0, 1.0, 0.5, 140.0]]",8879
B,71.22459209,31,0.218526764,0.354612907,SRBA,2,0.609340099,"[[2.0, 1.0, 0.5, 140.0]]",5459
B,73.17675648,32,0.235885288,0.361620959,SRBA,2,0.612216258,"[[1.9630468487739563, 1.0, 0.5, 140.0]]",1449
B,58.41160426,25,0.211465215,0.36133924,SRBA-PI,2,0.599196006,"[[2.0, 1.0, 0.5, 140.0]]",4313
B,53.56548017,23,0.200932115,0.328183391,SRBA-PI,2,0.601133415,"[[2.0, 1.0, 0.5, 140.0]]",2929
B,64.7008176,28,0.227230335,0.375791517,SRBA-PI,2,0.584227548,"[[1.8888240456581116, 1.0, 0.5, 140.0]]",8313
B,59.10127415,26,0.212768316,0.349169393,SRBA-PI,2,0.615891967,"[[2.0, 1.0, 0.5, 140.0]]",9494
B,63.96117757,27,0.225675774,0.349114092,SRBA-PI,2,0.590983491,"[[1.8472282588481903, 1.0, 0.4916236400604248, 134.14916515350342]]",6444
B,57.81537985,26,0.217908914,0.376122142,SRBA-PI,2,0.629590259,"[[2.0, 1.0, 0.5, 140.0]]",5427
B,73.65625485,31,0.231823996,0.37326184,SRBA-PI,2,0.589223551,"[[2.0, 1.0, 0.5, 139.62337970733643]]",7140
B,48.76483508,22,0.233145689,0.369521159,SRBA-PI,2,0.631602669,"[[2.0, 1.0, 0.49459140300750737, 140.0]]",4889
B,73.95426845,31,0.229856151,0.362983719,SRBA-PI,2,0.586849156,"[[1.875770628452301, 1.0, 0.5, 140.0]]",247
B,54.17196566,23,0.226902595,0.357980358,SRBA-PI,2,0.594403389,"[[2.0, 1.0, 0.5, 140.0]]",9311
B,49.18038231,20,0.224067229,0.374402076,SRBA-PI,2,0.569332703,"[[2.0, 1.0, 0.5, 140.0]]",7453
B,58.10478926,25,0.195974681,0.354435132,SRBA-PI,2,0.602359985,"[[2.0, 1.0, 0.5, 140.0]]",4054
B,61.19391777,27,0.226668705,0.316419153,SRBA-PI,2,0.617708448,"[[2.0, 1.0, 0.5, 140.0]]",742
B,76.26329282,32,0.233579928,0.35412117,SRBA-PI,2,0.587438574,"[[2.0, 1.0, 0.5, 130.9049415588379]]",4945
B,61.32255272,27,0.226270114,0.361055483,SRBA-PI,2,0.616412695,"[[2.0, 1.0, 0.5, 140.0]]",9623
B,59.98133387,25,0.23726237,0.373595331,SRBA-PI,2,0.583514866,"[[1.724636286497116, 1.0, 0.5, 140.0]]",5966
B,61.33347268,27,0.22119021,0.341100583,SRBA-PI,2,0.616302948,"[[2.0, 1.0, 0.5, 140.0]]",3130
B,57.14705684,25,0.220477807,0.371759091,SRBA-PI,2,0.612454988,"[[2.0, 1.0, 0.5, 140.0]]",6574
B,67.33836057,29,0.211328369,0.352618646,SRBA-PI,2,0.602925281,"[[2.0, 1.0258117895573378, 0.5, 140.0]]",9297
B,34.19945929,17,0.214655472,0.318313235,SRBA-PI,2,0.654981116,"[[2.0, 1.0, 0.5, 140.0]]",6622
B,72.51230166,30,0.221914751,0.368166383,SRBA-PI,2,0.579212065,"[[2.0, 1.0, 0.47813963890075684, 140.0]]",5710
B,62.68283852,27,0.216742275,0.340326719,SRBA-PI,2,0.603035869,"[[2.0, 1.0, 0.5, 140.0]]",9452
B,58.11031137,25,0.22232318,0.342217943,SRBA-PI,2,0.602302744,"[[2.0, 1.0, 0.5, 140.0]]",8451
B,69.1099545,30,0.214425735,0.343156903,SRBA-PI,2,0.607727212,"[[2.0, 1.0, 0.5, 140.0]]",4203
B,54.47276742,23,0.232469254,0.357986724,SRBA-PI,2,0.59112106,"[[2.0, 1.0, 0.489792275428772, 140.0]]",7692
B,50.4999921,22,0.212916981,0.384010124,SRBA-PI,2,0.609901085,"[[2.0, 1.0, 0.5, 139.39515113830566]]",9181
B,63.66490268,27,0.218176217,0.359399833,SRBA-PI,2,0.593733728,"[[2.0, 1.0, 0.5, 140.0]]",2103
B,74.28085672,32,0.222712443,0.354584221,SRBA-PI,2,0.603116361,"[[2.0, 1.0, 0.5, 140.0]]",8879
B,70.05934966,31,0.213967538,0.38492856,SRBA-PI,2,0.59949172,"[[2.0, 1.0, 0.46677682399749754, 140.0]]",5459
B,64.8988577,28,0.221552512,0.367011886,SRBA-PI,2,0.604016795,"[[2.0, 1.0, 0.5, 140.0]]",1449
B,68.0653787,34,0.205195033,0.382008566,SRIA,2,0.69932763,"[[2.0, 1.0, 0.5, 140.0]]",4313
B,56.62367818,28,0.224285467,0.40065218,SRIA,2,0.692289891,"[[2.0, 1.0, 0.5, 128.8369083404541]]",2929
B,67.70495101,32,0.214077679,0.408356141,SRIA,2,0.661694593,"[[2.0, 1.0, 0.5, 140.0]]",8313
B,52.07174208,25,0.237722675,0.402944947,SRIA,2,0.672149588,"[[2.0, 1.0, 0.45395390987396245, 140.0]]",9494
B,61.23757024,30,0.220662057,0.406620108,SRIA,2,0.685853469,"[[2.0, 1.0, 0.5, 140.0]]",6444
B,63.81028138,31,0.216752624,0.397422396,SRIA,2,0.680141179,"[[2.0, 1.0, 0.5, 140.0]]",5427
B,70.90471951,33,0.220782931,0.399219361,SRIA,2,0.65157863,"[[2.0, 1.0, 0.5, 137.64536380767822]]",7140
B,59.83540337,29,0.221308273,0.380315453,SRIA,2,0.678528057,"[[2.0, 1.0, 0.5, 140.0]]",4889
B,75.82960342,36,0.211340188,0.404025051,SRIA,2,0.664648076,"[[2.0, 1.0, 0.5, 140.0]]",247
B,56.01864078,28,0.221554493,0.396564129,SRIA,2,0.699767068,"[[2.0, 1.0, 0.4344592332839966, 140.0]]",9311
B,46.02284511,21,0.229781978,0.407620127,SRIA,2,0.638813179,"[[2.0, 1.0, 0.44884214401245115, 140.0]]",7453
B,60.84267903,29,0.223517355,0.410415467,SRIA,2,0.667294745,"[[2.0, 1.0, 0.5, 140.0]]",4054
B,47.27561169,23,0.20599675,0.3771925,SRIA,2,0.681112287,"[[2.0, 1.0, 0.5, 140.0]]",742
B,79.1819609,38,0.243769381,0.396644994,SRIA,2,0.671870201,"[[1.9446564614772797, 1.0, 0.5, 140.0]]",4945
B,65.00944002,32,0.208608767,0.38178845,SRIA,2,0.689130686,"[[2.0, 1.0, 0.5, 140.0]]",9623
B,66.45433582,32,0.218008258,0.40318032,SRIA,2,0.674147133,"[[2.0, 1.0, 0.46064620018005376, 140.0]]",5966
B,53.59940384,26,0.223054941,0.41971484,SRIA,2,0.679112031,"[[2.0, 1.0, 0.5, 134.86523151397705]]",3130
B,46.81523675,23,0.206059998,0.367519679,SRIA,2,0.687810257,"[[2.0, 1.0, 0.5, 140.0]]",6574
B,62.6824447,30,0.224415541,0.404562933,SRIA,2,0.670044064,"[[2.0, 1.0, 0.49891571998596196, 140.0]]",9297
B,61.69216631,31,0.21607472,0.357724914,SRIA,2,0.703492884,"[[2.0, 1.0, 0.5, 137.43935585021973]]",6622
B,81.15625052,38,0.234730148,0.409355821,SRIA,2,0.655525602,"[[1.9655260145664215, 1.0, 0.5, 140.0]]",5710
B,58.44777235,28,0.233673906,0.391565476,SRIA,2,0.670684244,"[[2.0, 1.0, 0.4334124803543091, 140.0]]",9452
B,59.30386821,30,0.225513054,0.380352486,SRIA,2,0.708216871,"[[2.0, 1.0, 0.5, 140.0]]",8451
B,53.72622049,26,0.225028855,0.389305963,SRIA,2,0.677509039,"[[2.0, 1.0284663923084736, 0.5, 140.0]]",4203
B,55.57903643,28,0.193673922,0.413104975,SRIA,2,0.7053019,"[[2.0, 1.0, 0.5, 140.0]]",7692
B,55.5207866,26,0.231423681,0.414247988,SRIA,2,0.655610308,"[[2.0, 1.0, 0.5, 132.130708694458]]",9181
B,65.95477969,32,0.236684193,0.395070042,SRIA,2,0.679253273,"[[2.0, 1.0, 0.5, 140.0]]",2103
B,63.67529524,31,0.210402456,0.402733822,SRIA,2,0.68158302,"[[2.0, 1.0, 0.5, 140.0]]",8879
B,59.5785081,30,0.210765589,0.394341716,SRIA,2,0.704952194,"[[2.0, 1.0, 0.5, 140.0]]",5459
B,76.93584033,36,0.237414549,0.405373236,SRIA,2,0.655091304,"[[2.0, 1.0, 0.5, 140.0]]",1449
B,42.20372065,19,0.199519191,0.367833972,SRIA-PI,2,0.630276184,"[[1.970800757408142, 1.0, 0.5, 140.0]]",4313
B,44.64855046,21,0.227359195,0.379730359,SRIA-PI,2,0.658476024,"[[2.0, 1.0, 0.5, 140.0]]",2929
B,68.78480827,31,0.216654366,0.397003698,SRIA-PI,2,0.630953274,"[[2.0, 1.0, 0.5, 140.0]]",8313
B,55.93567029,25,0.220943606,0.378307989,SRIA-PI,2,0.625718791,"[[2.0, 1.0, 0.5, 131.5209722518921]]",9494
B,58.91500738,27,0.22026008,0.381279894,SRIA-PI,2,0.641602228,"[[2.0, 1.0, 0.5, 140.0]]",6444
B,65.65778773,29,0.222363174,0.368966383,SRIA-PI,2,0.618357721,"[[2.0, 1.0, 0.5, 133.22330474853516]]",5427
B,70.36714729,30,0.214557022,0.380905147,SRIA-PI,2,0.596869443,"[[2.0, 1.0, 0.5, 135.58820724487305]]",7140
B,51.88958782,24,0.217174725,0.380265738,SRIA-PI,2,0.647528751,"[[2.0, 1.0, 0.43895413875579836, 140.0]]",4889
B,56.09669768,25,0.227004814,0.395177614,SRIA-PI,2,0.623922645,"[[2.0, 1.0, 0.5, 140.0]]",247
B,57.52163393,27,0.223025362,0.401023525,SRIA-PI,2,0.657144059,"[[2.0, 1.0, 0.5, 140.0]]",9311
B,55.95811658,25,0.233549135,0.391545427,SRIA-PI,2,0.625467799,"[[2.0, 1.0, 0.46428141593933103, 140.0]]",7453
B,57.45357021,26,0.218532258,0.381839767,SRIA-PI,2,0.633555058,"[[2.0, 1.0, 0.5, 140.0]]",4054
B,54.07355758,26,0.20755968,0.352136336,SRIA-PI,2,0.673157115,"[[2.0, 1.0, 0.5, 140.0]]",742
B,68.49224381,31,0.223431938,0.385719484,SRIA-PI,2,0.63364839,"[[2.0, 1.0, 0.5, 130.28419971466064]]",4945
B,55.25299378,25,0.244939725,0.383895139,SRIA-PI,2,0.633449839,"[[2.0, 1.0, 0.5, 126.92261695861816]]",9623
B,56.87710866,25,0.239134193,0.394517839,SRIA-PI,2,0.615361801,"[[1.9706940054893494, 1.0, 0.5, 140.0]]",5966
B,58.49800144,27,0.223447335,0.378730754,SRIA-PI,2,0.646175922,"[[2.0, 1.0, 0.5, 140.0]]",3130
B,41.43019874,19,0.213114456,0.358973192,SRIA-PI,2,0.642043746,"[[2.0, 1.0, 0.46571574211120603, 140.0]]",6574
B,61.82320521,29,0.208578101,0.373655955,SRIA-PI,2,0.656711341,"[[2.0, 1.0, 0.45871529579162595, 140.0]]",9297
B,42.03269329,21,0.227428576,0.348481047,SRIA-PI,2,0.699455536,"[[2.0, 1.0, 0.44078218936920166, 140.0]]",6622
B,54.59992063,23,0.230646432,0.397563365,SRIA-PI,2,0.589744447,"[[2.0, 1.0, 0.5, 139.5567798614502]]",5710
B,55.15885006,26,0.217936704,0.375881519,SRIA-PI,2,0.659912235,"[[2.0, 1.0, 0.5, 140.0]]",9452
B,58.9415095,27,0.215081981,0.358314596,SRIA-PI,2,0.641313742,"[[2.0, 1.0, 0.5, 140.0]]",8451
B,61.24575292,28,0.228610931,0.391910768,SRIA-PI,2,0.640044381,"[[2.0, 1.0, 0.468904185295105, 140.0]]",4203
B,34.08975024,18,0.214761141,0.421528128,SRIA-PI,2,0.739225128,"[[2.0, 1.0, 0.5, 140.0]]",7692
B,45.81681868,21,0.220604431,0.414202507,SRIA-PI,2,0.641685757,"[[2.0, 1.0, 0.5, 140.0]]",9181
B,58.43057543,28,0.209330753,0.375957308,SRIA-PI,2,0.670881635,"[[2.0, 1.0, 0.5, 140.0]]",2103
B,60.18392024,27,0.222829676,0.391837875,SRIA-PI,2,0.628074739,"[[1.9303597509860992, 1.0, 0.5, 140.0]]",8879
B,65.99156464,29,0.214540859,0.397449775,SRIA-PI,2,0.572800481,"[[1.9386828243732452, 1.0, 0.5, 140.0]]",5459
B,61.60106284,29,0.228986714,0.402582927,SRIA-PI,2,0.659079537,"[[2.0, 1.0, 0.5, 140.0]]",1449
B,47.72823339,31,0.224335491,0.505526968,ARIA,2,0.90931503,"[[2.0, 1.0, 0.5, 140.0]]",4313
B,63.95686264,40,0.225289833,0.517577856,ARIA,2,0.875590166,"[[2.0, 1.0, 0.4745384693145752, 140.0]]",2929
B,53.24197956,34,0.204344571,0.56389576,ARIA,2,0.894031371,"[[2.0, 1.0, 0.5, 140.0]]",8313
B,55.93953958,37,0.222029428,0.554017092,ARIA,2,0.925999756,"[[2.0, 1.0, 0.5, 140.0]]",9494
B,54.45809034,34,0.195976981,0.514431613,ARIA,2,0.874066639,"[[2.0, 1.0, 0.48281593322753913, 140.0]]",6444
B,63.20451647,41,0.232012654,0.542097063,ARIA,2,0.908162948,"[[2.0, 1.0, 0.4502467632293702, 140.0]]",5427
B,76.12614623,48,0.20652912,0.571124058,ARIA,2,0.882745329,"[[1.990999311208725, 1.0, 0.5, 140.0]]",7140
B,51.91336288,33,0.221205415,0.512199498,ARIA,2,0.889944273,"[[2.0, 1.0, 0.5, 140.0]]",4889
B,59.62601718,38,0.212825943,0.552239579,ARIA,2,0.892227966,"[[2.0, 1.0, 0.47573602199554443, 140.0]]",247
B,54.77377711,35,0.21904444,0.543769634,ARIA,2,0.894588662,"[[2.0, 1.0, 0.4367613554000854, 140.0]]",9311
B,53.89137503,34,0.196907239,0.531693345,ARIA,2,0.88325822,"[[2.0, 1.0, 0.5, 140.0]]",7453
B,43.43882766,27,0.217746194,0.49776326,ARIA,2,0.87018923,"[[2.0, 1.0, 0.5, 140.0]]",4054
B,52.79537266,35,0.225649325,0.500548469,ARIA,2,0.928111642,"[[1.9659883379936218, 1.0, 0.5, 140.0]]",742
B,71.28564968,45,0.229414884,0.549184058,ARIA,2,0.883768336,"[[1.8577189147472382, 1.0, 0.5, 135.85719108581543]]",4945
B,58.99142213,38,0.225229971,0.539912995,ARIA,2,0.90182603,"[[1.900745302438736, 1.0, 0.5, 140.0]]",9623
B,60.65180501,39,0.22882936,0.542134395,ARIA,2,0.900220529,"[[2.0, 1.0, 0.5, 140.0]]",5966
B,52.14021356,33,0.220504639,0.521616665,ARIA,2,0.88607232,"[[2.0, 1.0, 0.5, 140.0]]",3130
B,47.97477073,31,0.217695659,0.525334088,ARIA,2,0.904642156,"[[1.816275030374527, 1.0, 0.5, 140.0]]",6574
B,65.95223702,43,0.210295701,0.507478006,ARIA,2,0.912781775,"[[2.0, 1.0, 0.4644391059875489, 140.0]]",9297
B,48.17598524,32,0.186699706,0.444822474,ARIA,2,0.929923898,"[[2.0, 1.0, 0.5, 140.0]]",6622
B,68.02240103,43,0.217307482,0.538830971,ARIA,2,0.885002574,"[[1.914345622062683, 1.0, 0.45849273204803465, 140.0]]",5710
B,62.43137552,41,0.241642074,0.51796328,ARIA,2,0.919409504,"[[2.0, 1.0, 0.5, 134.1622829437256]]",9452
B,56.20486512,37,0.218808761,0.520895217,ARIA,2,0.921628402,"[[2.0, 1.0, 0.5, 140.0]]",8451
B,57.11529602,36,0.213772044,0.499206539,ARIA,2,0.882425611,"[[2.0, 1.0, 0.42501730918884284, 132.6936960220337]]",4203
B,41.86604391,26,0.211904629,0.526492571,ARIA,2,0.869439684,"[[1.886429637670517, 1.0, 0.5, 140.0]]",7692
B,63.76291452,40,0.237842208,0.53967248,ARIA,2,0.878253455,"[[1.8118604719638824, 1.0, 0.5, 139.5720672607422]]",9181
B,41.07512234,26,0.221756759,0.495977579,ARIA,2,0.886181171,"[[2.0, 1.0, 0.5, 140.0]]",2103
B,65.10406635,41,0.200615172,0.553214094,ARIA,2,0.881665359,"[[2.0, 1.0, 0.5, 140.0]]",8879
B,81.58924034,53,0.219048784,0.551282698,ARIA,2,0.909433642,"[[2.0, 1.0, 0.5, 140.0]]",5459
B,59.01660291,38,0.217544886,0.55906373,ARIA,2,0.901441245,"[[1.8644532263278961, 1.0, 0.5, 140.0]]",1449
