Benchmark,time,Nexps,objective,operating time ratio of the reactors,scheduling mode,Nreactors,operating time ratio of the analyzers,condition,random_seed,noise level
A1,711.2494053,39,0.423516241,0.533292649,SRBA-PI,5,0.506151566,"[[110.0, 20.13476451287679, 4.175, 'e']]",4313,0
A1,1022.59279,45,0.422907012,0.482545413,SRBA-PI,5,0.391162547,"[[110.0, 18.222651263160607, 4.175, 'e']]",2929,0
A1,728.0075314,42,0.423507401,0.497220908,SRBA-PI,5,0.5082365,"[[110.0, 20.2237982790024, 4.175, 'e']]",8313,0
A1,676.8647485,34,0.423296462,0.577293717,SRBA-PI,5,0.47276801,"[[110.0, 18.865031495476195, 4.175, 'e']]",9494,0
A1,931.7778011,47,0.423521436,0.523356101,SRBA-PI,5,0.418554724,"[[110.0, 20.059093431238473, 4.175, 'e']]",6444,0
A1,1013.260376,50,0.423516061,0.500847802,SRBA-PI,5,0.414503528,"[[110.0, 20.13685927225493, 4.175, 'e']]",5427,0
A1,729.8868062,40,0.42326767,0.495748325,SRBA-PI,5,0.452124901,"[[110.0, 21.111462634843495, 4.175, 'e']]",7140,0
A1,901.9258868,44,0.423517182,0.485078248,SRBA-PI,5,0.454582806,"[[110.0, 20.123135377816034, 4.175, 'e']]",4889,0
A1,820.518145,44,0.423191349,0.506320833,SRBA-PI,5,0.511871678,"[[110.0, 21.283730560763427, 4.175, 'e']]",247,0
A1,837.5908777,40,0.422835652,0.455814573,SRBA-PI,5,0.429804108,"[[110.0, 18.13260594676733, 4.175, 'e']]",9311,0
A1,819.000452,40,0.4246726,0.431155271,SRBA-PI,5,0.476190213,"[[110.0, 21.763900202943773, 4.175, 'e']]",4313,0.005
A1,823.5280133,43,0.421820392,0.516630844,SRBA-PI,5,0.485715111,"[[105.31540393829346, 24.415644474117048, 4.175, 'e']]",2929,0.005
A1,854.1140753,48,0.421894893,0.521302504,SRBA-PI,5,0.480029556,"[[110.0, 21.956428855081533, 4.175, 'e']]",8313,0.005
A1,989.6305545,45,0.421155482,0.508950996,SRBA-PI,5,0.434505582,"[[110.0, 18.871447147906107, 4.175, 'e']]",9494,0.005
A1,781.6449774,42,0.424050772,0.439055535,SRBA-PI,5,0.498947746,"[[110.0, 23.51731735008518, 4.175, 'e']]",6444,0.005
A1,1171.165429,56,0.419358362,0.466491041,SRBA-PI,5,0.42692517,"[[107.33254909515381, 25.409751536716286, 4.175, 'e']]",5427,0.005
A1,846.4822522,44,0.424998506,0.449403328,SRBA-PI,5,0.460730274,"[[110.0, 19.677014261165066, 4.175, 'e']]",7140,0.005
A1,991.0796545,44,0.423584333,0.571977385,SRBA-PI,5,0.423780266,"[[110.0, 20.20946594407059, 4.175, 'e']]",4889,0.005
A1,704.7097157,36,0.419236383,0.488622729,SRBA-PI,5,0.51084864,"[[110.0, 24.210099596886764, 4.175, 'e']]",247,0.005
A1,720.0885806,35,0.422549094,0.508954634,SRBA-PI,5,0.472164133,"[[110.0, 21.334708870993133, 4.175, 'e']]",9311,0.005
A1,738.9433223,37,0.432347027,0.439167841,SRBA-PI,5,0.487182155,"[[110.0, 21.60551516829894, 4.175, 'e']]",4313,0.01
A1,983.2245611,45,0.423152475,0.479522692,SRBA-PI,5,0.406824662,"[[110.0, 20.138820197656983, 4.175, 'e']]",2929,0.01
A1,833.6030777,48,0.427675994,0.508734962,SRBA-PI,5,0.539825262,"[[110.0, 18.103371007508336, 4.175, 'e']]",8313,0.01
A1,866.8791083,42,0.426839893,0.537174263,SRBA-PI,5,0.472960989,"[[110.0, 24.764096698371777, 4.175, 'e']]",9494,0.01
A1,792.6036349,48,0.417994065,0.460942018,SRBA-PI,5,0.517282513,"[[110.0, 21.10077958826937, 4.175, 'e']]",6444,0.01
A1,1154.672984,56,0.424489838,0.450954422,SRBA-PI,5,0.398381192,"[[110.0, 20.248054996183345, 4.175, 'e']]",5427,0.01
A1,578.34251,32,0.422240595,0.416005632,SRBA-PI,5,0.53601455,"[[109.49452877044678, 18.744225518888356, 4.175, 'e']]",7140,0.01
A1,949.8585198,46,0.422818931,0.524756446,SRBA-PI,5,0.43164323,"[[106.87000751495361, 23.477807283203386, 4.175, 'e']]",4889,0.01
A1,1188.020074,59,0.424745328,0.544144436,SRBA-PI,5,0.429285675,"[[110.0, 20.713951756917364, 4.175, 'e']]",247,0.01
A1,679.9450839,32,0.41731747,0.446184705,SRBA-PI,5,0.441212102,"[[110.0, 22.520173176430433, 4.175, 'e']]",9311,0.01
A1,1029.906444,52,0.452837443,0.468779888,SRBA-PI,5,0.48548099,"[[110.0, 25.071477910674353, 4.175, 'e']]",4313,0.05
A1,1060.948252,52,0.46667512,0.575415869,SRBA-PI,5,0.48070205,"[[102.6298713684082, 31.861845259176203, 4.175, 'e']]",2929,0.05
A1,1099.258407,56,0.461611598,0.50260729,SRBA-PI,5,0.445755063,"[[105.279541015625, 32.489052703267156, 4.175, 'e']]",8313,0.05
A1,1220.567363,62,0.458640135,0.506758235,SRBA-PI,5,0.491574671,"[[110.0, 18.325872162095592, 4.175, 'e']]",9494,0.05
A1,1066.66712,56,0.440897867,0.514301729,SRBA-PI,5,0.468749801,"[[110.0, 19.481176633785797, 4.175, 'c']]",6444,0.05
A1,1362.421845,71,0.441406428,0.496155235,SRBA-PI,5,0.477091587,"[[110.0, 24.90853290115172, 4.175, 'e']]",5427,0.05
A1,917.5464965,52,0.443837865,0.478499797,SRBA-PI,5,0.523134252,"[[110.0, 16.33766397744186, 4.175, 'e']]",7140,0.05
A1,1130.761932,59,0.487863026,0.590440116,SRBA-PI,5,0.468710508,"[[104.35539245605469, 25.115486402970223, 4.175, 'e']]",4889,0.05
A1,1320.496147,71,0.448148164,0.542476813,SRBA-PI,5,0.461947581,"[[110.0, 23.530111921913832, 4.175, 'c']]",247,0.05
A1,1146.697035,61,0.434245919,0.526294548,SRBA-PI,5,0.470917761,"[[110.0, 43.1624439237331, 4.175, 'e']]",9311,0.05
C,51.8,46,0.967468,0.399305556,SRBA-PI,4,0.594594595,"[['1b', '2b', 'L1.0', 'B2', 'S2']]",4313,0
C,53.2,46,0.984243,0.388513514,SRBA-PI,4,0.605263158,"[['1d', '2b', 'L1.0', 'B3', 'S3']]",2929,0
C,42.7,38,0.961446,0.402542373,SRBA-PI,4,0.590163934,"[['1d', '2a', 'L6', 'B8', 'S2']]",8313,0
C,46.2,40,0.950559,0.390625,SRBA-PI,4,0.545454545,"[['1d', '2a', 'L6', 'B6', 'S1']]",9494,0
C,51.8,43,0.985294,0.373263889,SRBA-PI,4,0.581081081,"[['1c', '2a', 'L2', 'B7', 'S3']]",6444,0
C,49,40,0.986922,0.367647059,SRBA-PI,4,0.528571429,"[['1d', '2a', 'L2', 'B3', 'S1']]",5427,0
C,48.65,40,0.991471,0.37037037,SRBA-PI,4,0.575539568,"[['1d', '2b', 'L3', 'B3', 'S3']]",7140,0
C,75.6,59,0.986922,0.347877358,SRBA-PI,4,0.481481481,"[['1d', '2a', 'L2', 'B3', 'S1']]",4889,0
C,44.1,37,0.986922,0.379098361,SRBA-PI,4,0.587301587,"[['1d', '2a', 'L2', 'B3', 'S1']]",247,0
C,47.6,42,0.986922,0.397727273,SRBA-PI,4,0.529411765,"[['1d', '2a', 'L2', 'B3', 'S1']]",9311,0
C,42.7,40,0.984239574,0.438596491,SRBA-PI,4,0.573770492,"[['1d', '2b', 'L1.0', 'B3', 'S3']]",4313,0.005
C,49.35,43,0.960968511,0.392335766,SRBA-PI,4,0.539007092,"[['1d', '2a', 'L4', 'B5', 'S1']]",2929,0.005
C,42.7,38,0.981644439,0.402542373,SRBA-PI,4,0.590163934,"[['1b', '2a', 'L6', 'B1', 'S2']]",8313,0.005
C,47.25,39,0.990681688,0.372137405,SRBA-PI,4,0.562962963,"[['1c', '2a', 'L2', 'B7', 'S3']]",9494,0.005
C,53.2,45,0.986760522,0.380067568,SRBA-PI,4,0.592105263,"[['1c', '2a', 'L2', 'B7', 'S3']]",6444,0.005
C,51.8,43,0.983382634,0.373263889,SRBA-PI,4,0.581081081,"[['1c', '2a', 'L2', 'B7', 'S3']]",5427,0.005
C,45.5,39,0.995404536,0.399590164,SRBA-PI,4,0.6,"[['1d', '2b', 'L3', 'B3', 'S3']]",7140,0.005
C,46.2,44,0.962363887,0.4296875,SRBA-PI,4,0.53030303,"[['1d', '2b', 'L3', 'B1', 'S4']]",4889,0.005
C,66.85,56,0.993480135,0.374331551,SRBA-PI,4,0.586387435,"[['1d', '2a', 'L2', 'B3', 'S1']]",247,0.005
C,57.75,50,0.983626382,0.388198758,SRBA-PI,4,0.593939394,"[['1d', '2a', 'L2', 'B3', 'S3']]",9311,0.005
C,62.65,52,0.999618356,0.371428571,SRBA-PI,4,0.51396648,"[['1d', '2b', 'L3', 'B3', 'S3']]",4313,0.01
C,67.2,54,0.977429095,0.359042553,SRBA-PI,4,0.520833333,"[['1d', '2a', 'L2', 'B3', 'S1']]",2929,0.01
C,71.05,55,0.987777161,0.345477387,SRBA-PI,4,0.512315271,"[['1d', '2b', 'L6', 'B3', 'S4']]",8313,0.01
C,52.5,39,0.993809374,0.33390411,SRBA-PI,4,0.466666667,"[['1d', '2b', 'L3', 'B6', 'S3']]",9494,0.01
C,57.75,49,0.995485236,0.380434783,SRBA-PI,4,0.593939394,"[['1d', '2a', 'L2', 'B3', 'S3']]",6444,0.01
C,65.8,52,0.998125831,0.35326087,SRBA-PI,4,0.521276596,"[['1c', '2a', 'L2', 'B7', 'S3']]",5427,0.01
C,59.85,51,0.996398138,0.381736527,SRBA-PI,4,0.538011696,"[['1d', '2b', 'L3', 'B3', 'S3']]",7140,0.01
C,51.8,46,0.991047208,0.399305556,SRBA-PI,4,0.567567568,"[['1d', '2a', 'L2', 'B3', 'S3']]",4889,0.01
C,53.2,44,0.997758904,0.371621622,SRBA-PI,4,0.578947368,"[['1d', '2a', 'L2', 'B3', 'S1']]",247,0.01
C,47.25,41,0.97597281,0.391221374,SRBA-PI,4,0.562962963,"[['1d', '2a', 'L2', 'B3', 'S1']]",9311,0.01
C,44.1,37,0.976166641,0.379098361,SRBA-PI,4,0.571428571,"[['1b', '2a', 'L1.0', 'B2', 'S3']]",4313,0.05
C,42.7,40,0.998064675,0.423728814,SRBA-PI,4,0.590163934,"[['1c', '2a', 'L4', 'B8', 'S1']]",2929,0.05
C,42.7,37,1,0.391949153,SRBA-PI,4,0.573770492,"[['1d', '2a', 'L6', 'B8', 'S1']]",8313,0.05
C,46.2,44,1,0.4296875,SRBA-PI,4,0.53030303,"[['1d', '2a', 'L2', 'B6', 'S1'], ['1d', '2a', 'L5', 'B6', 'S1'], ['1d', '2a', 'L6', 'B6', 'S1'], ['1d', '2a', 'L3', 'B6', 'S1'], ['1d', '2a', 'L3', 'B5', 'S1'], ['1d', '2a', 'L6', 'B5', 'S1'], ['1d', '2a', 'L10', 'B5', 'S1']]",9494,0.05
C,104.65,89,1,0.382302405,SRBA-PI,4,0.595317726,"[['1c', '2a', 'L2', 'B3', 'S3'], ['1d', '2a', 'L2', 'B7', 'S3'], ['1d', '2a', 'L2', 'B3', 'S3'], ['1c', '2a', 'L2', 'B7', 'S3'], ['1c', '2a', 'L2', 'B8', 'S3'], ['1c', '2a', 'L2', 'B6', 'S3'], ['1c', '2a', 'L2', 'B1', 'S3'], ['1d', '2b', 'L6', 'B3', 'S4'], ['1d', '2b', 'L3', 'B3', 'S4'], ['1d', '2b', 'L1.0', 'B3', 'S4']]",6444,0.05
C,42.7,38,1,0.402542373,SRBA-PI,4,0.590163934,"[['1d', '2a', 'L1.0', 'B3', 'S1']]",5427,0.05
C,45.85,39,1,0.383858268,SRBA-PI,4,0.534351145,"[['1d', '2b', 'L2', 'B3', 'S3'], ['1d', '2a', 'L2', 'B3', 'S3']]",7140,0.05
C,46.2,41,1,0.400390625,SRBA-PI,4,0.53030303,"[['1d', '2b', 'L1.0', 'B8', 'S3']]",4889,0.05
C,53.2,44,1,0.371621622,SRBA-PI,4,0.578947368,"[['1d', '2a', 'L2', 'B3', 'S4'], ['1d', '2a', 'L2', 'B6', 'S3'], ['1c', '2a', 'L2', 'B7', 'S3']]",247,0.05
C,44.45,39,1,0.396341463,SRBA-PI,4,0.566929134,"[['1d', '2b', 'L1.0', 'B3', 'S2'], ['1d', '2b', 'L1.0', 'B7', 'S2'], ['1b', '2a', 'L1.0', 'B7', 'S2'], ['1d', '2b', 'L1.0', 'B8', 'S2']]",9311,0.05
