0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0.122285,0.229309,0.621212,0.111999,0.880602,0.370553,0.424344,0.666749,0.587483,0.501186,0.750067,0.432173,0.290329,0.363396,0.408769,0.226653,0.626449,0.7109,0.488032,0.228381,0.177731,0.078187,0.237806,0.509771,0.573867,0.616451,0.483685,0.382874,0.261379,0.175951,0.909881,0.822894,0.860402,0.153395,0.93689,0.14573,0.425535,0.179719,0.807708,0.094556,0.185,0.677325,0.511416,0.01212,0.117826,0.906075,0.962822,0.267729,0.678281,0.825802,0.009881,0.18971,0.715427,0.205856,0.15534,0.643925,0.201594,0.127626,0.084797,0.428387
0.396327,0.197519,0.939386,0.614809,0.098043,0.52544,0.749876,0.609015,0.861884,0.506895,0.371234,0.181184,0.328601,0.759983,0.679169,0.258984,0.810783,0.49017,0.961623,0.835061,0.257215,0.210778,0.347458,0.226507,0.275171,0.19811,0.139143,0.412966,0.60615,0.212526,0.664073,0.141421,0.107255,0.146097,0.967609,0.166351,0.889917,0.282175,0.840207,0.156801,0.848979,0.466972,0.106694,0.227624,0.143933,0.170368,0.118605,0.909212,0.41024,0.130859,0.146664,0.035439,0.184708,0.23474,0.599095,0.553404,0.111301,0.1369,0.257225,0.140734
0.245658,0.695589,0.789021,0.696043,0.220128,0.72919,0.18242,0.162716,0.453801,0.312694,0.172842,0.783561,0.767322,0.142428,0.626449,0.876427,0.944496,0.114718,0.846404,0.210778,0.559591,0.27274,0.15408,0.30893,0.646963,0.483685,0.16899,0.489054,0.042482,0.675936,0.188558,0.167903,0.134456,0.917347,0.351721,0.136123,0.911688,0.537776,0.605464,0.782265,0.13954,0.145594,0.127058,0.095379,0.801809,0.17025,0.87352,0.119346,0.885466,0.147437,0.745325,0.657088,0.107538,0.680702,0.213679,0.357829,0.435121,0.238611,0.97317,0.154614
0.239503,0.85726,0.661406,0.066507,0.280119,0.07673,0.950559,0.180202,0.486043,0.34963,0.434465,0.922981,0.916453,0.171217,0.466971,0.377964,0.959307,0.419652,0.149882,0.443243,0.677502,0.348184,0.27274,0.654911,0.48398,0.630417,0.318492,0.156409,0.03682,0.128603,0.055969,0.170735,0.683272,0.906035,0.074143,0.135472,0.887044,0.15467,0.094556,0.15392,0.154377,0.927651,0.569614,0.697695,0.160374,0.123824,0.088038,0.158612,0.859027,0.025368,0.130956,0.803543,0.232349,0.138664,0.291568,0.111451,0.670233,0.233747,0.198005,0.142345
0.813253,0.229309,0.807685,0.152623,0.202056,0.937275,0.377236,0.234421,0.66397,0.167406,0.881281,0.763816,0.82193,0.126909,0.134298,0.6386,0.773161,0.890081,0.42733,0.437752,0.167159,0.551126,0.304783,0.878201,0.238888,0.572515,0.626153,0.353916,0.268268,0.20089,0.171722,0.107255,0.888996,0.134456,0.914015,0.920925,0.184619,0.959684,0.713469,0.537776,0.210126,0.680519,0.210364,0.423735,0.01212,0.209001,0.179695,0.185757,0.908087,0.136915,0.262645,0.794698,0.803625,0.747962,0.165723,0.068142,0.141033,0.654815,0.523619,0.084797
0.497427,0.753648,0.721924,0.920841,0.721647,0.178669,0.081493,0.262377,0.433014,0.573806,0.737243,0.178726,0.905473,0.678205,0.353159,0.150003,0.537756,0.704463,0.151192,0.208214,0.649814,0.87872,0.139953,0.654911,0.183132,0.189075,0.479034,0.690918,0.259189,0.306279,0,0.902111,0.146143,0.890209,0.164935,0.764555,0.442566,0.12642,0.16431,0.476693,0.11943,0.17586,0.316508,0.143933,0.192222,0.179039,0.838748,0.299761,0.52883,0.074702,0.138816,0.162675,0.745325,0.507894,0.638781,0.279479,0.82137,0.22598,0.03024,0.132272
0.595371,0.80094,0.533804,0.897435,0.485851,0.580748,0.960384,0.199335,0.358094,0.144414,0.346067,0.670199,0.381388,0.136339,0.01484,0.967468,0.305995,0.07242,0.53538,0.121986,0.74788,0.188267,0.030327,0.770574,0.742944,0.497444,0.81881,0.257805,0.173239,0.483676,0.190166,0.625643,0.914627,0.851388,0.193499,0.732535,0.869237,0.225053,0.566811,0.90894,0.476693,0.167798,0.928344,0.23706,0.132112,0.116677,0.092935,0.753938,0.172548,0.130956,0.138956,0.331402,0.153455,0.888943,0.553404,0.222675,0.757049,0.654815,0.208832,0
0.239503,0.80094,0.163471,0.630475,0.721829,0.151627,0.463399,0.547959,0.165133,0.724493,0.777172,0.823214,0.938212,0.119458,0.020502,0.07556,0.183974,0.70098,0.836126,0.846701,0.210778,0.524534,0.167159,0.978329,0.620179,0.532291,0.193178,0.31506,0.311506,0.091381,0.129603,0.03004,0.043592,0.924891,0.777103,0.924162,0.68839,0.142724,0.90894,0.939499,0.167798,0.159518,0.604739,0.31049,0.122274,0.034956,0.151373,0.843936,0.962822,0.337838,0.367499,0.144833,0.802289,0.158467,0.205496,0.351184,0.111301,0.228062,0.247473,0.128005
0.174331,0.219469,0.584174,0.512488,0.202056,0.893373,0.058743,0.919936,0.749556,0.527824,0.312425,0.597264,0.294237,0.328601,0.759983,0.142428,0.285298,0.858228,0.578343,0.375697,0.611428,0.538829,0.183648,0.978637,0.704549,0.866955,0.197134,0.72708,0.734164,0.035072,0.720929,0.835449,0.982021,0.194111,0.942641,0.064865,0.108741,0.961486,0.124794,0.373575,0.161674,0.604739,0.227624,0.14572,0.170368,0.190765,0.134561,0.31166,0.751753,0.700527,0.12437,0.969708,0.568579,0.853651,0.211268,0.117188,0.4366,0.157446,0,0.013766
0.538193,0.967377,0.310095,0.234475,0.743356,0.652874,0.950559,0.096189,0.453801,0.575059,0.16234,0.159424,0.201635,0.358299,0.967468,0.516819,0.673396,0.771282,0.77558,0.415715,0.030327,0.266111,0.180024,0.67201,0.221836,0.523255,0.257805,0.120576,0.173239,0.540921,0.13075,0.054484,0.873063,0.207027,0.842337,0.861337,0.019803,0.138505,0.717751,0.109793,0.128928,0.664592,0.697695,0.550019,0.209001,0.188679,0.092518,0.672248,0.897799,0.198656,0.516181,0.314535,0.826189,0.133651,0.195661,0.574511,0.726219,0.4366,0,0.154333
