0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0.304783,0.195086,0.466972,0.33092,0.460091,0.574149,0.357445,0.812458,0.105371,0.120017,0.22271,0.725634,0.550019,0.711168,0.150514,0.943764,0.258106,0.083316,0.516797,0.742047,0.942657,0.587119,0.137822,0.896286,0.770618,0.335312,0.12642,0.512282,0.360251,0.765989,0.913686,0.720883,0.15382,0.166413,0.689534,0.466972,0.899296,0.453801,0.891624,0.157348,0.849881,0.466972,0.315811,0.097159,0.378639,0.224049,0.827709,0.230208,0.177669,0.21571,0.213054,0.306279,0.707581,0.127058,0.611004,0.159727,0.413122,0.231676,0.417982,0.387903
0.059293,0.885789,0.209177,0.914693,0.179883,0.518674,0.258924,0.176067,0.320403,0.133392,0.850922,0.072041,0.77558,0.036089,0.784359,0.103935,0.256642,0.350018,0.206433,0.812106,0.667685,0.543635,0.305644,0.537769,0.221992,0.442566,0.729003,0.860402,0.194153,0.722305,0.152717,0.454935,0.747962,0.033227,0.305995,0.787694,0.353637,0.043226,0.186963,0.414067,0.483685,0.901014,0.439809,0.428037,0.173929,0.647278,0.869794,0.856903,0.207261,0.165723,0.750156,0.765989,0.771262,0.130226,0.509265,0.247732,0.195064,0.627984,0.770157,0.571732
0.175265,0.813229,0.630475,0.20336,0.7715,0.412084,0.805863,0.763742,0.948037,0.540921,0.174625,0.510383,0.104858,0.236269,0.062365,0.600521,0.723209,0.292598,0.111443,0.897228,0.068142,0.470932,0.046299,0.770157,0.456338,0.844946,0.142345,0.400136,0.701338,0.161955,0.442488,0.117188,0.518674,0.055635,0.350998,0.212735,0.104526,0.077952,0.611004,0.511273,0.566811,0.676195,0.953063,0.426591,0.095119,0.416681,0.254791,0.152933,0.128917,0.30618,0.73497,0.684992,0.210209,0.667685,0.228162,0.334838,0.734164,0.946438,0.299626,0.137639
0.062669,0.075318,0.198005,0.562288,0.15365,0.221155,0.953553,0.794558,0.497935,0.449831,0.73497,0.948037,0.216094,0.125097,0.717755,0.244154,0.144776,0.760066,0.845103,0.402493,0.341557,0.276308,0.711206,0.606823,0.478041,0.099194,0.158836,0.990462,0.076636,0.466972,0.240776,0.414067,0.487368,0.521798,0.749876,0.022687,0.707687,0.45264,0.833603,0.18378,0.373363,0.699316,0.142217,0.178764,0.189777,0.099194,0.964898,0.23331,0.468052,0.066239,0.200579,0.408471,0.668927,0.169899,0.038781,0.580137,0.746495,0.509771,0.249555,0.836126
0.160208,0.121713,0.136084,0.177731,0.679992,0.231223,0.220949,0.460811,0.721181,0.171882,0.127776,0.676399,0.057869,0.237712,0.433202,0.927695,0.292141,0.85636,0.427972,0.417982,0.89166,0.196791,0.234445,0.38899,0.21575,0.741514,0.24196,0.66,0.046299,0.502462,0.606823,0.926982,0.158251,0.153395,0.298566,0.475954,0.131436,0.717396,0.114641,0.16431,0.468285,0.604682,0.21872,0.155215,0.780346,0.706485,0.489138,0.232355,0.165303,0.104134,0.661567,0.890081,0.571382,0.52883,0.475451,0.482424,0.137024,0.817687,0.899296,0.711086
0.207261,0.463216,0.358636,0.259658,0.148945,0.926046,0.186385,0.815163,0.655683,0.819065,0.069314,0.120576,0.943215,0.425692,0.87872,0.121986,0.952137,0.967468,0.890407,0.322318,0.302916,0.463714,0.560733,0.055432,0.490565,0.682274,0.135067,0.219469,0.155165,0.909449,0.460256,0.535099,0.267971,0.585738,0.584884,0.962822,0.130326,0.126787,0.909881,0.10016,0.353916,0.137822,0.134303,0.199089,0.735359,0.466972,0.656036,0.257615,0.888996,0.433014,0.100341,0.308774,0.311838,0.135261,0.336087,0.175416,0.064562,0.886373,0.491913,0.309444
0.058658,0.129252,0.401182,0.180216,0.465879,0.735145,0.232215,0.14047,0.094558,0.750156,0.141388,0.587119,0.642457,0.160562,0.425699,0.237921,0.924162,0.891624,0.573806,0.231973,0.864446,0.23943,0.15293,0.03004,0.214582,0.094866,0.161379,0.272605,0.114305,0.105162,0.927985,0.232349,0.926467,0.456338,0.454581,0.909901,0.947395,0.512282,0.112241,0.476661,0.723209,0.161852,0.221938,0.685423,0.152904,0.277884,0.739404,0.654905,0.685232,0.223017,0.113797,0.660885,0.83954,0.062365,0.372267,0.098728,0.667804,0.205496,0.187347,0.127027
0.161436,0.158982,0.709112,0.684606,0.744278,0.468052,0.316934,0.677325,0.243631,0.214523,0.503058,0.946676,0.690477,0.140168,0.463714,0.38151,0.340325,0.367366,0.28721,0.806752,0.220914,0.076636,0.835061,0.262866,0.141388,0.145489,0.197228,0.494815,0.81704,0.579808,0.11958,0.066064,0.684462,0.423735,0.650864,0.925414,0.511744,0.601984,0.683272,0.618537,0.222208,0.668927,0.656955,0.89166,0.706485,0.637472,0.90281,0.168188,0.731547,0.418739,0.087355,0.129696,0.81881,0.905313,0.583275,0.261045,0.162716,0.847621,0.407782,0.376866
0.21408,0,0.874973,0.632787,0.208546,0.350082,0.701577,0.373101,0.146097,0.159981,0.820775,0.650272,0.812116,0.406525,0.260409,0.189125,0.135206,0.158251,0.95775,0.163093,0.528177,0.89166,0.143636,0.147624,0.144776,0.38899,0.909449,0.823075,0.900728,0.354142,0.73607,0.075788,0.861598,0.887044,0.717755,0.226442,0.466972,0.414067,0.836126,0.4816,0.075836,0.70454,0.130404,0.85636,0.138141,0.837481,0.17763,0.161562,0.119346,0.406073,0.450398,0.187865,0.195064,0.145338,0.18378,0.096969,0.64905,0.275513,0.211343,0.858549
0.946438,0.132479,0.129696,0.6761,0.215532,0.497444,0.360251,0.306201,0.132712,0.859027,0.673963,0.148133,0.554719,0.161713,0.12961,0.153395,0.823075,0.34329,0.953416,0.125365,0.865439,0.399838,0.502453,0.860402,0.208214,0.731547,0.304947,0.443777,0.155459,0.709954,0.749428,0.628568,0.302906,0.111752,0.291568,0.165873,0.974247,0.118134,0.679724,0.537177,0.849881,0.245422,0.723209,0.806409,0.460646,0.730163,0.269869,0.244837,0.942023,0.118123,0.121052,0.855838,0.152348,0.26719,0.889917,0.125533,0.521798,0.749876,0.485851,0.183119
