Benchmark	time	Nexps	objective	operating time ratio of the reactors	scheduling mode	Nreactors	operating time ratio of the analyzers	condition	random_seed	regret
A1	1796.031884	48	0.423520989	0.603875326	SRBA	2	0.267255835	"[[110.0, 20.06707460532116, 4.175, 'e']]"	4313	5.01E-06
A1	1690.405938	46	0.422901298	0.632652203	SRBA	2	0.272123985	"[[110.0, 21.814193276632963, 4.175, 'e']]"	2929	0.000624702
A1	1711.828976	44	0.423285311	0.571970696	SRBA	2	0.257035023	"[[110.0, 18.840591742482232, 4.175, 'e']]"	8313	0.000240689
A1	1800.832835	46	0.423520837	0.593704528	SRBA	2	0.255437368	"[[110.0, 19.76553483002012, 4.175, 'e']]"	9494	5.16E-06
A1	1723.746409	46	0.423521782	0.608757329	SRBA	2	0.266860599	"[[110.0, 20.052662064902083, 4.175, 'e']]"	6444	4.22E-06
A1	1922.431173	48	0.423479418	0.609719488	SRBA	2	0.249683841	"[[110.0, 20.410815110081938, 4.175, 'e']]"	5427	4.66E-05
A1	1835.717464	42	0.419900845	0.664394857	SRBA	2	0.228793378	"[[105.71887016296387, 25.320404269524705, 4.175, 'e']]"	7140	0.003625155
A1	1940.07714	46	0.423309457	0.679020687	SRBA	2	0.237103974	"[[110.0, 21.006958041717656, 4.175, 'e']]"	4889	0.000216543
A1	1660.489164	46	0.423525295	0.603266245	SRBA	2	0.2770268	"[[110.0, 19.928452861040363, 4.175, 'e']]"	247	7.05E-07
A1	1668.560567	48	0.423523856	0.552347767	SRBA	2	0.287673105	"[[110.0, 20.00406626279693, 4.175, 'e']]"	9311	2.14E-06
A1	2012.896223	50	0.423524918	0.613271501	SRBA	2	0.2483983	"[[110.0, 19.871420771385015, 4.175, 'e']]"	7453	1.08E-06
A1	1669.464915	46	0.42352187	0.588421135	SRBA	2	0.275537387	"[[110.0, 19.78406186489638, 4.175, 'e']]"	4054	4.13E-06
A1	1846.027245	52	0.423524735	0.621547874	SRBA	2	0.281685983	"[[110.0, 19.86207532538733, 4.175, 'e']]"	742	1.27E-06
A1	1662.048795	44	0.423524219	0.612443709	SRBA	2	0.264733503	"[[110.0, 19.84182219090879, 4.175, 'e']]"	4945	1.78E-06
A1	1170.343497	36	0.423519255	0.571505941	SRBA	2	0.307602	"[[110.0, 20.09471725963257, 4.175, 'e']]"	9623	6.75E-06
A1	1933.212034	48	0.42352376	0.624695879	SRBA	2	0.24829144	"[[110.0, 20.00699724900802, 4.175, 'e']]"	5966	2.24E-06
A1	1810.951618	48	0.423522151	0.611256495	SRBA	2	0.265054017	"[[110.0, 19.789639792957335, 4.175, 'e']]"	3130	3.85E-06
A1	2140.38247	48	0.423447431	0.672341382	SRBA	2	0.224258985	"[[110.0, 19.295123724277605, 4.175, 'e']]"	6574	7.86E-05
A1	1567.515537	42	0.423116147	0.57153359	SRBA	2	0.267939928	"[[110.0, 21.436565769175388, 4.175, 'e']]"	9297	0.000409853
A1	1842.843189	42	0.423358008	0.619071963	SRBA	2	0.227908702	"[[110.0, 19.01334053487086, 4.175, 'e']]"	6622	0.000167992
A1	1712.835723	40	0.423525085	0.594699483	SRBA	2	0.23353086	"[[110.0, 19.882132198527437, 4.175, 'e']]"	5710	9.15E-07
A1	1515.639603	42	0.423522588	0.589563479	SRBA	2	0.277110732	"[[110.0, 20.036119001313104, 4.175, 'e']]"	9452	3.41E-06
A1	1807.434541	44	0.423524853	0.600460749	SRBA	2	0.243438968	"[[110.0, 19.86798200859535, 4.175, 'e']]"	8451	1.15E-06
A1	2455.338457	56	0.423481552	0.590153102	SRBA	2	0.228074463	"[[110.0, 19.448622283654224, 4.175, 'e']]"	4203	4.44E-05
A1	1844.362209	44	0.423024449	0.596336348	SRBA	2	0.238564853	"[[110.0, 21.606646438456867, 4.175, 'e']]"	7692	0.000501551
A1	1795.172573	46	0.423294396	0.669435463	SRBA	2	0.256242774	"[[110.0, 21.04562995062661, 4.175, 'e']]"	9181	0.000231604
A1	1972.0667	50	0.423472432	0.582429135	SRBA	2	0.25354112	"[[110.0, 20.447575724001368, 4.175, 'e']]"	2103	5.36E-05
A1	1763.963205	42	0.423447756	0.589267143	SRBA	2	0.238100205	"[[110.0, 20.561710519019183, 4.175, 'e']]"	8879	7.82E-05
A1	1426.985844	40	0.423521272	0.614924087	SRBA	2	0.28031112	"[[110.0, 19.773013846885334, 4.175, 'e']]"	5459	4.73E-06
A1	1748.764924	42	0.423484623	0.57903642	SRBA	2	0.240169502	"[[110.0, 19.465157128776998, 4.175, 'e']]"	1449	4.14E-05
A1	1197.413592	34	0.423299839	0.617329261	SRBA-PI	2	0.283945332	"[[110.0, 21.03167492973202, 4.175, 'e']]"	4313	0.000226161
A1	1223.227918	34	0.422794008	0.595452826	SRBA-PI	2	0.277953107	"[[110.0, 21.98082385672546, 4.175, 'e']]"	2929	0.000731992
A1	1446.002938	37	0.423415077	0.588287888	SRBA-PI	2	0.255877765	"[[110.0, 20.688662718815056, 4.175, 'e']]"	8313	0.000110923
A1	1398.373826	37	0.422977555	0.622906062	SRBA-PI	2	0.264593053	"[[110.0, 21.688152544631095, 4.175, 'e']]"	9494	0.000548445
A1	1429.114053	39	0.421757402	0.614364517	SRBA-PI	2	0.272896344	"[[107.78623580932617, 22.30696103693518, 4.175, 'e']]"	6444	0.001768598
A1	1131.961086	32	0.423407136	0.578611125	SRBA-PI	2	0.28269523	"[[110.0, 19.154179242662533, 4.175, 'e']]"	5427	0.000118864
A1	2173.654618	51	0.423396221	0.608903815	SRBA-PI	2	0.234627892	"[[110.0, 20.753620882677758, 4.175, 'e']]"	7140	0.000129779
A1	1521.778601	37	0.423441577	0.699793693	SRBA-PI	2	0.243136551	"[[110.0, 19.272630178323894, 4.175, 'e']]"	4889	8.44E-05
A1	1535.987286	43	0.42316985	0.584775828	SRBA-PI	2	0.279950234	"[[110.0, 21.328980857148334, 4.175, 'e']]"	247	0.00035615
A1	1780.96556	49	0.422499923	0.598154653	SRBA-PI	2	0.269516722	"[[110.0, 22.389411116256078, 4.175, 'e']]"	9311	0.001026077
A1	1116.575818	33	0.421487279	0.593540286	SRBA-PI	2	0.295546433	"[[110.0, 23.514246461864897, 4.175, 'e']]"	7453	0.002038721
A1	1196.830555	34	0.422814987	0.637903673	SRBA-PI	2	0.284083656	"[[110.0, 21.94911352676999, 4.175, 'e']]"	4054	0.000711013
A1	2263.725759	52	0.423492828	0.638207611	SRBA-PI	2	0.225292308	"[[110.0, 20.331435994644558, 4.175, 'e']]"	742	3.32E-05
