Benchmark,analysis time,time,Nexps,Nreactors,TCT,operating time ratio of the analyzers,operating time ratio of the reactors,scheduling mode
A1,3 min,1073.449535,35,2,0.76049861,0.61113212,0.76049861,SRIA-PI
A1,3 min,1146.605173,39,2,0.752653843,0.477633514,0.752653843,SRIA-PI
A1,3 min,1327.294811,42,2,0.739388376,0.313411637,0.739388376,SRIA-PI
A1,3 min,1104.118687,38,2,0.759767443,0.523335128,0.759767443,SRIA-PI
A1,3 min,1423.67083,46,2,0.798940508,0.16808388,0.798940508,SRIA-PI
A1,3 min,770.8935747,27,2,0.636920377,0.957725008,0.636920377,SRIA-PI
A1,3 min,1422.173045,39,2,0.806233767,0.337251067,0.806233767,SRIA-PI
A1,3 min,1377.236096,36,2,0.820875294,0.432316497,0.820875294,SRIA-PI
A1,3 min,1115.754052,35,2,0.700066074,0.589580944,0.700066074,SRIA-PI
A1,3 min,1588.159349,49,2,0.712143733,0.012115335,0.712143733,SRIA-PI
A1,3 min,630.2348502,25,2,0.713250805,1.077496211,0.713250805,SRIA-PI
A1,3 min,1293.737589,41,2,0.75312307,0.35456442,0.75312307,SRIA-PI
A1,3 min,1619.42039,48,2,0.743058067,0.020247772,0.743058067,SRIA-PI
A1,3 min,746.5440938,31,2,0.721256894,0.873898401,0.721256894,SRIA-PI
A1,3 min,649.7508996,27,2,0.720027276,1.019438679,0.720027276,SRIA-PI
A1,3 min,1363.169078,42,2,0.781091518,0.295136222,0.781091518,SRIA-PI
A1,3 min,1200.318405,41,2,0.759962348,0.402154923,0.759962348,SRIA-PI
A1,3 min,1656.047502,39,2,0.758030742,0.218108482,0.758030742,SRIA-PI
A1,3 min,1437.647563,43,2,0.735158282,0.233136934,0.735158282,SRIA-PI
A1,3 min,1175.949026,38,2,0.71764458,0.486742623,0.71764458,SRIA-PI
A1,3 min,1045.866958,33,2,0.759967176,0.67329898,0.759967176,SRIA-PI
A1,3 min,1160.220351,39,2,0.702451674,0.470697538,0.702451674,SRIA-PI
