Benchmark,time,Nexps,objective,operating time ratio of the reactors,scheduling mode,Nreactors,operating time ratio of the analyzers,condition,random_seed,Nanalyzers
A1,835.9197653,51,0.42344454,0.248413022,SRIA-PI,12,0.861326685,"[[110.0, 20.575237929333667, 4.175, 'e']]",4313,1
A1,756.5595872,41,0.42261085,0.169104433,SRIA-PI,12,0.872370149,"[[110.0, 22.242136014867373, 4.175, 'e']]",2929,1
A1,993.3001739,56,0.423524411,0.22562839,SRIA-PI,12,0.926205415,"[[110.0, 19.985652750373582, 4.175, 'e']]",8313,1
A1,932.4442738,52,0.423154446,0.214756979,SRIA-PI,12,0.857960119,"[[110.0, 18.589438739139332, 4.175, 'e']]",9494,1
A1,801.6258673,37,0.423524712,0.167004762,SRIA-PI,12,0.823326725,"[[110.0, 19.973015971525353, 4.175, 'e']]",6444,1
A1,1087.880613,67,0.422620499,0.273124901,SRIA-PI,12,0.864065403,"[[110.0, 22.22884279023566, 4.175, 'e']]",5427,1
A1,1080.246576,52,0.423464916,0.20484735,SRIA-PI,12,0.870171701,"[[110.0, 19.368100200697754, 4.175, 'e']]",7140,1
A1,1116.964322,60,0.423520189,0.216498471,SRIA-PI,12,0.805755369,"[[110.0, 20.080470890810247, 4.175, 'e']]",4889,1
A1,706.5856798,44,0.422868064,0.19692315,SRIA-PI,12,0.84915392,"[[110.0, 21.867075370886543, 4.175, 'e']]",247,1
A1,988.9582782,53,0.423517175,0.170232977,SRIA-PI,12,0.910048502,"[[110.0, 19.71319998641016, 4.175, 'e']]",9311,1
A1,1125.995357,70,0.422324863,0.222762764,SRIA-PI,12,0.870341067,"[[110.0, 17.6023557400334, 4.175, 'e']]",7453,1
A1,914.6529484,49,0.422874413,0.211454472,SRIA-PI,12,0.874648687,"[[110.0, 21.857001359010198, 4.175, 'e']]",4054,1
A1,1101.019416,61,0.423518341,0.217403802,SRIA-PI,12,0.853754245,"[[110.0, 20.10768078692372, 4.175, 'e']]",742,1
A1,948.1465964,57,0.422401216,0.247959046,SRIA-PI,12,0.864845165,"[[110.0, 22.514936465602766, 4.175, 'e']]",4945,1
A1,891.001669,57,0.422540002,0.248305429,SRIA-PI,12,0.897865883,"[[110.0, 17.80625880867081, 4.175, 'e']]",9623,1
A1,1182.908602,68,0.423521018,0.279165941,SRIA-PI,12,0.845373851,"[[110.0, 20.066636708044953, 4.175, 'e']]",5966,1
A1,908.6031642,49,0.422627116,0.187669875,SRIA-PI,12,0.88047239,"[[110.0, 17.895933629918705, 4.175, 'e']]",3130,1
A1,1040.408565,55,0.422787662,0.220220861,SRIA-PI,12,0.845821564,"[[110.0, 21.990239650699774, 4.175, 'e']]",6574,1
A1,1257.930053,65,0.423522511,0.191653953,SRIA-PI,12,0.858553301,"[[110.0, 20.037771730811336, 4.175, 'e']]",9297,1
A1,1033.016623,60,0.423523695,0.220519434,SRIA-PI,12,0.890595542,"[[110.0, 20.00881783414414, 4.175, 'e']]",6622,1
A1,1234.314695,60,0.423439122,0.20058556,SRIA-PI,12,0.858776133,"[[110.0, 20.597414221123987, 4.175, 'e']]",5710,1
A1,1117.03062,76,0.423004674,0.277690432,SRIA-PI,12,0.823612158,"[[110.0, 18.355577260847227, 4.175, 'e']]",9452,1
A1,897.3122984,52,0.423114516,0.2061358,SRIA-PI,12,0.89155136,"[[110.0, 21.439756666874704, 4.175, 'e']]",8451,1
