Benchmark,time,Nexps,objective,operating time ratio of the reactors,scheduling mode,Nreactors,operating time ratio of the analyzers,condition,random_seed,Ncombos
A1,1458.333846,42,0.422828535,0.43025139,SRIA-PI,3,0.575999797,"[[110.0, 21.928351341856775, 4.175, 'e']]",4313,1
A1,1571.736727,47,0.423256477,0.456458963,SRIA-PI,3,0.585339761,"[[110.0, 18.77990721964829, 4.175, 'e']]",2929,1
A1,1114.236811,35,0.420882672,0.446266979,SRIA-PI,3,0.6282327,"[[106.76290988922119, 23.67907503296739, 4.175, 'e']]",8313,1
A1,936.9585195,30,0.422330549,0.396312478,SRIA-PI,3,0.640369864,"[[108.67497444152832, 22.045673936629562, 4.175, 'e']]",9494,1
A1,1392.989618,43,0.423407083,0.459873817,SRIA-PI,3,0.60301957,"[[110.0, 19.15409249210066, 4.175, 'e']]",6444,1
A1,1396.268481,46,0.423507728,0.428829851,SRIA-PI,3,0.630251282,"[[110.0, 20.22094654032056, 4.175, 'e']]",5427,1
A1,1186.057558,36,0.422868031,0.447472876,SRIA-PI,3,0.590190582,"[[110.0, 18.172708061184416, 4.175, 'e']]",7140,1
A1,1179.541456,36,0.422940028,0.470086953,SRIA-PI,3,0.610406693,"[[110.0, 21.75115102150868, 4.175, 'e']]",4889,1
A1,1309.652821,42,0.423495478,0.488651598,SRIA-PI,3,0.595577688,"[[110.0, 19.52921646439475, 4.175, 'e']]",247,1
A1,924.3261443,27,0.422375623,0.365206164,SRIA-PI,3,0.584209376,"[[109.35162544250488, 18.699951620300766, 4.175, 'e']]",9311,1
A1,873.8930023,28,0.423519767,0.443998046,SRIA-PI,3,0.617924618,"[[110.0, 19.74851850838119, 4.175, 'e']]",7453,1
A1,1467.699588,42,0.422850672,0.405295788,SRIA-PI,3,0.572324205,"[[110.0, 18.151059628579812, 4.175, 'e']]",4054,1
A1,1407.600571,42,0.422226118,0.437274619,SRIA-PI,3,0.568343049,"[[109.09605979919434, 18.973571933770284, 4.175, 'e']]",742,1
A1,1129.925961,34,0.422729183,0.449933791,SRIA-PI,3,0.601809343,"[[109.0676498413086, 20.128499498554753, 4.175, 'e']]",4945,1
A1,1903.652443,54,0.423468269,0.451978218,SRIA-PI,3,0.556824332,"[[110.0, 20.46836570275034, 4.175, 'e']]",9623,1
A1,866.3765378,29,0.4208595,0.371583806,SRIA-PI,3,0.646370228,"[[108.1055212020874, 19.103467068651423, 4.175, 'e']]",5966,1
A1,1296.172137,41,0.423130359,0.46217988,SRIA-PI,3,0.601771923,"[[110.0, 21.40874022179536, 4.175, 'e']]",3130,1
