Benchmark,time,Nexps,objective,operating time ratio of the reactors,scheduling mode,Nreactors,operating time ratio of the analyzers,condition,random_seed,regret
C,139.3,46,1,0.583756345,SRO,1,0.462311558,"[['1d', '2b', 'L5', 'B3', 'S1'], ['1d', '2b', 'L3', 'B3', 'S1'], ['1d', '2b', 'L7', 'B3', 'S1']]",4313,0
C,126.7,42,0.960192,0.586592179,SRO,1,0.464088398,"[['1c', '2b', 'L2', 'B2', 'S2']]",2929,0.039808
C,117.25,39,0.986922,0.589123867,SRO,1,0.465671642,"[['1d', '2a', 'L2', 'B3', 'S1']]",8313,0.013078
C,218.05,71,1,0.573505654,SRO,1,0.455858748,"[['1d', '2b', 'L3', 'B3', 'S1'], ['1d', '2b', 'L7', 'B3', 'S1']]",9494,0
C,183.4,60,0.985294,0.576923077,SRO,1,0.458015267,"[['1c', '2a', 'L2', 'B7', 'S3']]",6444,0.014706
C,114.1,38,0.986922,0.590062112,SRO,1,0.466257669,"[['1d', '2a', 'L2', 'B3', 'S1']]",5427,0.013078
C,126.7,42,0.982021,0.586592179,SRO,1,0.464088398,"[['1d', '2a', 'L2', 'B3', 'S3']]",7140,0.017979
C,114.1,38,0.986922,0.590062112,SRO,1,0.466257669,"[['1d', '2a', 'L2', 'B3', 'S1']]",4889,0.013078
C,114.1,38,0.985294,0.590062112,SRO,1,0.466257669,"[['1c', '2a', 'L2', 'B7', 'S3']]",247,0.014706
C,142.45,47,0.986922,0.583126551,SRO,1,0.461916462,"[['1d', '2a', 'L2', 'B3', 'S1']]",9311,0.013078
C,173.95,57,0.991471,0.578093306,SRO,1,0.458752515,"[['1d', '2b', 'L3', 'B3', 'S3']]",7453,0.008529
C,117.25,39,0.986922,0.589123867,SRO,1,0.465671642,"[['1d', '2a', 'L2', 'B3', 'S1']]",4054,0.013078
C,218.05,71,1,0.573505654,SRO,1,0.455858748,"[['1d', '2b', 'L7', 'B3', 'S1'], ['1d', '2b', 'L3', 'B3', 'S1'], ['1d', '2b', 'L5', 'B3', 'S1']]",742,0
C,139.3,46,0.991471,0.583756345,SRO,1,0.462311558,"[['1d', '2b', 'L3', 'B3', 'S3']]",4945,0.008529
C,139.3,46,0.986922,0.583756345,SRO,1,0.462311558,"[['1d', '2a', 'L2', 'B3', 'S1']]",9623,0.013078
C,110.95,37,0.967468,0.591054313,SRO,1,0.466876972,"[['1b', '2b', 'L1.0', 'B2', 'S2']]",5966,0.032532
C,161.35,53,0.986922,0.579868709,SRO,1,0.459869848,"[['1d', '2a', 'L2', 'B3', 'S1']]",3130,0.013078
C,151.9,50,1,0.581395349,SRO,1,0.460829493,"[['1d', '2b', 'L3', 'B3', 'S1']]",6574,0
C,126.7,42,1,0.586592179,SRO,1,0.464088398,"[['1d', '2b', 'L7', 'B3', 'S1']]",9297,0
C,114.1,38,0.986922,0.590062112,SRO,1,0.466257669,"[['1d', '2a', 'L2', 'B3', 'S1']]",6622,0.013078
C,114.1,38,0.991471,0.590062112,SRO,1,0.466257669,"[['1d', '2b', 'L3', 'B3', 'S3']]",5710,0.008529
C,145.6,48,0.982021,0.582524272,SRO,1,0.461538462,"[['1d', '2a', 'L2', 'B3', 'S3']]",9452,0.017979
C,158.2,52,0.969708,0.580357143,SRO,1,0.460176991,"[['1d', '2b', 'L6', 'B3', 'S4']]",8451,0.030292
C,117.25,39,0.991471,0.589123867,SRO,1,0.465671642,"[['1d', '2b', 'L3', 'B3', 'S3']]",4203,0.008529
C,218.05,71,0.986922,0.573505654,SRO,1,0.455858748,"[['1d', '2a', 'L2', 'B3', 'S1']]",7692,0.013078
C,104.65,35,0.991471,0.593220339,SRO,1,0.468227425,"[['1d', '2b', 'L3', 'B3', 'S3']]",9181,0.008529
C,133,44,1,0.585106383,SRO,1,0.463157895,"[['1d', '2b', 'L3', 'B3', 'S1'], ['1d', '2b', 'L5', 'B3', 'S1']]",2103,0
C,177.1,58,1,0.577689243,SRO,1,0.458498024,"[['1d', '2b', 'L3', 'B3', 'S1']]",8879,0
C,151.9,50,0.967468,0.581395349,SRO,1,0.460829493,"[['1b', '2b', 'L1.0', 'B2', 'S2']]",5459,0.032532
C,155.05,51,0.967377,0.580865604,SRO,1,0.460496614,"[['1d', '2a', 'L2', 'B5', 'S1']]",1449,0.032623
C,45.5,40,0.984243,0.409836066,SRIA,4,0.615384615,"[['1d', '2b', 'L1.0', 'B3', 'S3']]",4313,0.015757
C,50.05,44,0.978329,0.407407407,SRIA,4,0.615384615,"[['1b', '2a', 'L6', 'B2', 'S2']]",2929,0.021671
C,50.05,44,0.986922,0.407407407,SRIA,4,0.615384615,"[['1d', '2a', 'L2', 'B3', 'S1']]",8313,0.013078
C,50.05,44,0.986922,0.407407407,SRIA,4,0.615384615,"[['1d', '2a', 'L2', 'B3', 'S1']]",9494,0.013078
C,77.35,68,0.986922,0.399061033,SRIA,4,0.615384615,"[['1d', '2a', 'L2', 'B3', 'S1']]",6444,0.013078
C,81.9,72,0.986922,0.398230088,SRIA,4,0.615384615,"[['1d', '2a', 'L2', 'B3', 'S1']]",5427,0.013078
C,45.5,40,0.991471,0.409836066,SRIA,4,0.615384615,"[['1d', '2b', 'L3', 'B3', 'S3']]",7140,0.008529
C,45.5,40,0.962822,0.409836066,SRIA,4,0.615384615,"[['1d', '2b', 'L3', 'B3', 'S4']]",4889,0.037178
C,63.7,56,0.986922,0.402298851,SRIA,4,0.615384615,"[['1d', '2a', 'L2', 'B3', 'S1']]",247,0.013078
C,50.05,44,0.991471,0.407407407,SRIA,4,0.615384615,"[['1d', '2b', 'L3', 'B3', 'S3']]",9311,0.008529
C,54.6,48,0.986922,0.405405405,SRIA,4,0.615384615,"[['1d', '2a', 'L2', 'B3', 'S1']]",7453,0.013078
C,72.8,64,1,0.4,SRIA,4,0.615384615,"[['1d', '2b', 'L3', 'B3', 'S1']]",4054,0
C,50.05,44,0.985294,0.407407407,SRIA,4,0.615384615,"[['1c', '2a', 'L2', 'B7', 'S3']]",742,0.014706
C,63.7,56,0.986922,0.402298851,SRIA,4,0.615384615,"[['1d', '2a', 'L2', 'B3', 'S1']]",4945,0.013078
C,63.7,56,0.986922,0.402298851,SRIA,4,0.615384615,"[['1d', '2a', 'L2', 'B3', 'S1']]",9623,0.013078
C,54.6,48,1,0.405405405,SRIA,4,0.615384615,"[['1d', '2b', 'L3', 'B3', 'S1'], ['1d', '2b', 'L7', 'B3', 'S1']]",5966,0
C,54.6,48,0.991470993,0.405405405,SRIA,4,0.615384615,[],3130,0.008529007
C,50.05,43,0.991471,0.398148148,SRIA,4,0.601398601,"[['1d', '2b', 'L3', 'B3', 'S3']]",6574,0.008529
C,45.5,40,0.952867,0.409836066,SRIA,4,0.615384615,"[['1c', '2b', 'L4', 'B7', 'S2']]",9297,0.047133
C,50.05,44,0.982021,0.407407407,SRIA,4,0.615384615,"[['1d', '2a', 'L2', 'B3', 'S3']]",6622,0.017979
C,45.5,40,0.959307,0.409836066,SRIA,4,0.615384615,"[['1b', '2a', 'L2', 'B7', 'S2']]",5710,0.040693
C,45.5,40,1,0.409836066,SRIA,4,0.615384615,"[['1d', '2b', 'L5', 'B3', 'S1'], ['1d', '2b', 'L3', 'B3', 'S1'], ['1d', '2b', 'L7', 'B3', 'S1']]",9452,0
C,50.05,44,0.982021,0.407407407,SRIA,4,0.615384615,"[['1d', '2a', 'L2', 'B3', 'S3']]",8451,0.017979
C,54.6,48,0.986922,0.405405405,SRIA,4,0.615384615,"[['1d', '2a', 'L2', 'B3', 'S1']]",4203,0.013078
C,45.5,40,0.985294,0.409836066,SRIA,4,0.615384615,"[['1c', '2a', 'L2', 'B7', 'S3']]",7692,0.014706
C,45.5,39,0.986922,0.399590164,SRIA,4,0.6,"[['1d', '2a', 'L2', 'B3', 'S1']]",9181,0.013078
C,63.7,56,0.990462,0.402298851,SRIA,4,0.615384615,"[['1d', '2b', 'L3', 'B6', 'S3']]",2103,0.009538
C,59.15,52,0.972928,0.403726708,SRIA,4,0.615384615,"[['1b', '2a', 'L6', 'B3', 'S2']]",8879,0.027072
C,50.05,44,0.986922,0.407407407,SRIA,4,0.615384615,"[['1d', '2a', 'L2', 'B3', 'S1']]",5459,0.013078
C,45.5,40,1,0.409836066,SRIA,4,0.615384615,"[['1d', '2b', 'L7', 'B3', 'S1'], ['1d', '2b', 'L3', 'B3', 'S1'], ['1d', '2b', 'L5', 'B3', 'S1']]",1449,0
C,47.6,48,1,0.322580645,SRIA,6,0.705882353,"[['1d', '2b', 'L3', 'B3', 'S1']]",4313,0
C,83.3,84,0.986922,0.309734513,SRIA,6,0.705882353,"[['1d', '2a', 'L2', 'B3', 'S1']]",2929,0.013078
C,65.45,66,1,0.314285714,SRIA,6,0.705882353,"[['1d', '2b', 'L3', 'B3', 'S1'], ['1d', '2b', 'L7', 'B3', 'S1']]",8313,0
C,59.5,60,0.986922,0.316455696,SRIA,6,0.705882353,"[['1d', '2a', 'L2', 'B3', 'S1']]",9494,0.013078
C,47.6,48,0.986922,0.322580645,SRIA,6,0.705882353,"[['1d', '2a', 'L2', 'B3', 'S1']]",6444,0.013078
C,53.55,54,0.986922,0.319148936,SRIA,6,0.705882353,"[['1d', '2a', 'L2', 'B3', 'S1']]",5427,0.013078
C,41.65,42,0.991471,0.327102804,SRIA,6,0.705882353,"[['1d', '2b', 'L3', 'B3', 'S3']]",7140,0.008529
C,47.6,48,1,0.322580645,SRIA,6,0.705882353,"[['1d', '2b', 'L3', 'B3', 'S1'], ['1d', '2b', 'L5', 'B3', 'S1']]",4889,0
C,53.55,54,0.991471,0.319148936,SRIA,6,0.705882353,"[['1d', '2b', 'L3', 'B3', 'S3']]",247,0.008529
C,53.55,54,0.991471,0.319148936,SRIA,6,0.705882353,"[['1d', '2b', 'L3', 'B3', 'S3']]",9311,0.008529
C,59.5,60,0.986922,0.316455696,SRIA,6,0.705882353,"[['1d', '2a', 'L2', 'B3', 'S1']]",7453,0.013078
C,59.5,60,0.985294,0.316455696,SRIA,6,0.705882353,"[['1c', '2a', 'L2', 'B7', 'S3']]",4054,0.014706
C,83.3,84,0.986922,0.309734513,SRIA,6,0.705882353,"[['1d', '2a', 'L2', 'B3', 'S1']]",742,0.013078
C,59.5,60,0.991471,0.316455696,SRIA,6,0.705882353,"[['1d', '2b', 'L3', 'B3', 'S3']]",4945,0.008529
C,53.55,54,0.986922,0.319148936,SRIA,6,0.705882353,"[['1d', '2a', 'L2', 'B3', 'S1']]",9623,0.013078
C,53.55,54,1,0.319148936,SRIA,6,0.705882353,"[['1d', '2b', 'L7', 'B3', 'S1'], ['1d', '2b', 'L5', 'B3', 'S1'], ['1d', '2b', 'L3', 'B3', 'S1']]",5966,0
C,41.65,42,0.967468,0.327102804,SRIA,6,0.705882353,"[['1b', '2b', 'L1.0', 'B2', 'S2']]",3130,0.032532
C,41.65,42,0.949963,0.327102804,SRIA,6,0.705882353,"[['1c', '2b', 'L4', 'B4', 'S2']]",6574,0.050037
C,47.6,48,0.985294,0.322580645,SRIA,6,0.705882353,"[['1c', '2a', 'L2', 'B7', 'S3']]",9297,0.014706
C,53.55,54,0.982021,0.319148936,SRIA,6,0.705882353,"[['1d', '2a', 'L2', 'B3', 'S3']]",6622,0.017979
C,47.6,48,0.991471,0.322580645,SRIA,6,0.705882353,"[['1d', '2b', 'L3', 'B3', 'S3']]",5710,0.008529
C,41.65,42,1,0.327102804,SRIA,6,0.705882353,"[['1d', '2b', 'L7', 'B3', 'S1']]",9452,0
C,65.45,66,1,0.314285714,SRIA,6,0.705882353,"[['1d', '2b', 'L3', 'B3', 'S1'], ['1d', '2b', 'L7', 'B3', 'S1'], ['1d', '2b', 'L5', 'B3', 'S1']]",8451,0
C,47.6,48,1,0.322580645,SRIA,6,0.705882353,"[['1d', '2b', 'L3', 'B3', 'S1'], ['1d', '2b', 'L5', 'B3', 'S1'], ['1d', '2b', 'L7', 'B3', 'S1']]",4203,0
C,47.6,48,0.991471,0.322580645,SRIA,6,0.705882353,"[['1d', '2b', 'L3', 'B3', 'S3']]",7692,0.008529
C,53.55,54,0.991471,0.319148936,SRIA,6,0.705882353,"[['1d', '2b', 'L3', 'B3', 'S3']]",9181,0.008529
C,59.5,60,0.962966,0.316455696,SRIA,6,0.705882353,"[['1d', '2a', 'L4', 'B5', 'S1']]",2103,0.037034
C,53.55,54,0.985294,0.319148936,SRIA,6,0.705882353,"[['1c', '2a', 'L2', 'B7', 'S3']]",8879,0.014706
C,41.65,42,0.974247,0.327102804,SRIA,6,0.705882353,"[['1c', '2a', 'L2', 'B3', 'S3']]",5459,0.025753
C,71.4,72,0.986075,0.3125,SRIA,6,0.705882353,"[['1c', '2b', 'L6', 'B4', 'S3']]",1449,0.013925
C,34.3,40,0.984243,0.531914894,ARIA,4,0.816326531,"[['1d', '2b', 'L1.0', 'B3', 'S3']]",4313,0.015757
C,62.65,76,0.991471,0.542857143,ARIA,4,0.849162011,"[['1d', '2b', 'L3', 'B3', 'S3']]",2929,0.008529
C,37.45,44,0.986922,0.533980583,ARIA,4,0.822429907,"[['1d', '2a', 'L2', 'B3', 'S1']]",8313,0.013078
C,50.05,60,0.990462,0.539568345,ARIA,4,0.839160839,"[['1d', '2b', 'L3', 'B6', 'S3']]",9494,0.009538
C,78.4,96,0.986922,0.545454545,ARIA,4,0.857142857,"[['1d', '2a', 'L2', 'B3', 'S1']]",6444,0.013078
C,36.05,42,0.986922,0.53030303,ARIA,4,0.815533981,"[['1d', '2a', 'L2', 'B3', 'S1']]",5427,0.013078
C,34.3,40,0.986922,0.531914894,ARIA,4,0.816326531,"[['1d', '2a', 'L2', 'B3', 'S1']]",7140,0.013078
C,36.05,42,1,0.53030303,ARIA,4,0.815533981,"[['1d', '2b', 'L3', 'B3', 'S1']]",4889,0
