Benchmark,analysis time,time,Nexps,Nreactors,TCT,operating time ratio of the analyzers,operating time ratio of the reactors,scheduling mode
A1,3 min,517.8838283,62,5,0.876549553,0.244594827,0.876549553,ARIA-PI
A1,3 min,651.3285187,57,5,0.837720713,0.296902836,0.837720713,ARIA-PI
A1,3 min,553.3888452,59,5,0.920878719,0.298680734,0.920878719,ARIA-PI
A1,3 min,732.1236149,57,5,0.883471095,0.255743418,0.883471095,ARIA-PI
A1,3 min,651.0513546,61,5,0.872685745,0.200813078,0.872685745,ARIA-PI
A1,3 min,521.5344143,55,5,0.724112439,0.41113928,0.724112439,ARIA-PI
A1,3 min,540.3657906,55,5,0.900465814,0.401546018,0.900465814,ARIA-PI
A1,3 min,643.3530756,55,5,0.822118501,0.349081241,0.822118501,ARIA-PI
A1,3 min,637.0328144,59,5,0.831800689,0.256070015,0.831800689,ARIA-PI
A1,3 min,537.3373799,47,5,0.802124828,0.595550689,0.802124828,ARIA-PI
A1,3 min,496.3244323,45,5,0.838025179,0.664559378,0.838025179,ARIA-PI
A1,3 min,814.9076809,66,5,0.855260303,-0.002948888,0.855260303,ARIA-PI
A1,3 min,668.0922943,62,5,0.905660115,0.168074179,0.905660115,ARIA-PI
A1,3 min,482.0835312,53,5,0.864026837,0.479352207,0.864026837,ARIA-PI
A1,3 min,677.1793124,62,5,0.910544718,0.163444983,0.910544718,ARIA-PI
A1,3 min,615.4888378,56,5,0.827965699,0.339218371,0.827965699,ARIA-PI
A1,3 min,619.8318894,54,5,0.828605827,0.385121369,0.828605827,ARIA-PI
A1,3 min,487.9445206,53,5,0.869983255,0.476366445,0.869983255,ARIA-PI
A1,3 min,507.3845312,51,5,0.914802254,0.514578604,0.914802254,ARIA-PI
A1,3 min,709.4986836,68,5,0.839481537,0.002634105,0.839481537,ARIA-PI
A1,3 min,690.9110244,60,5,0.821864505,0.204565118,0.821864505,ARIA-PI
A1,3 min,725.8685785,61,5,0.845122757,0.162698965,0.845122757,ARIA-PI
A1,3 min,596.1445092,56,5,0.780072078,0.349072946,0.780072078,ARIA-PI
A1,3 min,775.6705761,61,5,0.847586902,0.13732835,0.847586902,ARIA-PI
A1,3 min,675.5863552,53,5,0.815546763,0.380776129,0.815546763,ARIA-PI
A1,3 min,536.4132031,50,5,0.873705474,0.523848276,0.873705474,ARIA-PI
A1,3 min,691.1911016,58,5,0.885533757,0.252537916,0.885533757,ARIA-PI
A1,3 min,637.1517893,53,5,0.821670595,0.400355837,0.821670595,ARIA-PI
A1,3 min,531.8607423,52,5,0.799411707,0.478051958,0.799411707,ARIA-PI
A1,3 min,565.2963682,57,5,0.858753513,0.340730165,0.858753513,ARIA-PI
A1,3 min,541.7258013,68,8,0.809432107,0.088102587,0.809432107,ARIA-PI
A1,3 min,492.339726,65,8,0.792852027,0.185434534,0.792852027,ARIA-PI
A1,3 min,376.784616,61,8,0.846445092,0.340532689,0.846445092,ARIA-PI
A1,3 min,498.9127233,65,8,0.766049181,0.182086054,0.766049181,ARIA-PI
A1,3 min,442.1080905,59,8,0.795811085,0.355370451,0.795811085,ARIA-PI
A1,3 min,392.6657307,66,8,0.672392432,0.212153685,0.672392432,ARIA-PI
A1,3 min,474.4153749,58,8,0.734374408,0.3629699,0.734374408,ARIA-PI
A1,3 min,368.1769996,57,8,0.721766832,0.441148618,0.721766832,ARIA-PI
A1,3 min,352.4410257,52,8,0.786931763,0.569453683,0.786931763,ARIA-PI
A1,3 min,418.0686099,66,8,0.728808552,0.199212705,0.728808552,ARIA-PI
A1,3 min,513.5176793,87,8,0.819265713,-0.354624392,0.819265713,ARIA-PI
A1,3 min,330.9058432,53,8,0.79750268,0.556366605,0.79750268,ARIA-PI
A1,3 min,516.0653934,66,8,0.726713437,0.149290237,0.726713437,ARIA-PI
A1,3 min,538.8303192,85,8,0.881948404,-0.319403924,0.881948404,ARIA-PI
A1,3 min,353.6490031,49,8,0.72616094,0.641011519,0.72616094,ARIA-PI
A1,3 min,438.2126047,69,8,0.720624493,0.116777541,0.720624493,ARIA-PI
A1,3 min,248.7107085,45,8,0.737952158,0.790701153,0.737952158,ARIA-PI
A1,3 min,567.6429693,78,8,0.803741839,-0.165677773,0.803741839,ARIA-PI
A1,3 min,429.6897277,63,8,0.767084104,0.265465779,0.767084104,ARIA-PI
A1,3 min,482.8516721,64,8,0.858459105,0.214325769,0.858459105,ARIA-PI
A1,3 min,276.656299,61,8,0.800990519,0.391541023,0.800990519,ARIA-PI
A1,3 min,400.0469855,70,8,0.806376909,0.112162501,0.806376909,ARIA-PI
A1,3 min,727.4244172,96,8,0.829266034,-0.680114475,0.829266034,ARIA-PI
A1,3 min,461.5381167,74,8,0.884640202,-0.01539386,0.884640202,ARIA-PI
A1,3 min,435.5556066,68,8,0.77601882,0.142188833,0.77601882,ARIA-PI
A1,3 min,526.5288936,66,8,0.714479494,0.14395982,0.714479494,ARIA-PI
A1,3 min,490.5275416,81,8,0.721239646,-0.198566102,0.721239646,ARIA-PI
A1,3 min,522.6754362,73,8,0.822023312,-0.022481285,0.822023312,ARIA-PI
A1,3 min,463.034234,63,8,0.745356077,0.248479098,0.745356077,ARIA-PI
A1,3 min,1493.262528,50,2,0.930923274,0.036400851,0.930923274,ARIA-PI
A1,3 min,1212.730546,44,2,0.908519542,0.323658595,0.908519542,ARIA-PI
A1,3 min,1015.999049,40,2,0.902377059,0.520110408,0.902377059,ARIA-PI
A1,3 min,1113.369478,43,2,0.875655634,0.398333808,0.875655634,ARIA-PI
A1,3 min,1202.453308,46,2,0.899022395,0.280778647,0.899022395,ARIA-PI
A1,3 min,1181.553118,45,2,0.899876585,0.315483562,0.899876585,ARIA-PI
A1,3 min,1317.883117,43,2,0.913681152,0.294148495,0.913681152,ARIA-PI
A1,3 min,1353.028852,43,2,0.931680681,0.276244215,0.931680681,ARIA-PI
A1,3 min,1112.16576,44,2,0.898494934,0.374889279,0.898494934,ARIA-PI
A1,3 min,1315.060811,53,2,0.926458516,0.055008875,0.926458516,ARIA-PI
A1,3 min,1320.419848,52,2,0.89668994,0.076336562,0.89668994,ARIA-PI
A1,3 min,1195.385289,45,2,0.886989886,0.308437044,0.886989886,ARIA-PI
A1,3 min,1341.099181,52,2,0.923952518,0.065801896,0.923952518,ARIA-PI
A1,3 min,1153.000909,46,2,0.916841568,0.305971166,0.916841568,ARIA-PI
A1,3 min,1407.41754,50,2,0.938292312,0.080132834,0.938292312,ARIA-PI
A1,3 min,1398.502096,49,2,0.903450371,0.108732364,0.903450371,ARIA-PI
A1,3 min,1211.875059,47,2,0.920299789,0.251921189,0.920299789,ARIA-PI
