Benchmark,time,Nexps,objective,operating time ratio of the reactors,scheduling mode,Nreactors,operating time ratio of the analyzers,condition,random_seed,Nanalyzers
A1,1094.609664,83,0.42352333,0.344091984,ARIA-PI,12,0.950110377,"[[110.0, 20.018500198061247, 4.175, 'e']]",5966,1
A1,760.1547755,56,0.422503391,0.219319409,ARIA-PI,12,0.868244233,"[[110.0, 22.384854573826768, 4.175, 'e']]",3130,1
A1,1036.519617,80,0.42345599,0.315946583,ARIA-PI,12,0.868290369,"[[110.0, 20.525861650486274, 4.175, 'e']]",6574,1
A1,1017.031254,77,0.422190528,0.25315995,ARIA-PI,12,0.963588873,"[[110.0, 22.768277358237302, 4.175, 'e']]",9297,1
A1,951.6804429,78,0.423187562,0.296242532,ARIA-PI,12,0.945695592,"[[110.0, 18.647755863079272, 4.175, 'e']]",6622,1
A1,1118.763964,96,0.423519328,0.36947063,ARIA-PI,12,0.965351079,"[[110.0, 19.74211356219989, 4.175, 'e']]",5710,1
A1,1006.117986,95,0.423240246,0.365394912,ARIA-PI,12,0.894527295,"[[110.0, 21.1758184524671, 4.175, 'e']]",9452,1
A1,669.3110561,50,0.42338563,0.258177607,ARIA-PI,12,0.956207124,"[[110.0, 19.08949378358922, 4.175, 'e']]",8451,1
A1,946.7882648,84,0.42344474,0.299326551,ARIA-PI,12,0.971706171,"[[110.0, 20.57443314961125, 4.175, 'e']]",4203,1
A1,941.1839018,73,0.42313019,0.241176241,ARIA-PI,12,0.95624245,"[[110.0, 21.409139825831986, 4.175, 'e']]",7692,1
A1,865.0296113,67,0.423521014,0.262201697,ARIA-PI,12,0.971065024,"[[110.0, 19.768554313777724, 4.175, 'e']]",9181,1
A1,913.0519296,79,0.42352437,0.359054994,ARIA-PI,12,0.941896043,"[[110.0, 19.847133114746832, 4.175, 'e']]",2103,1
A1,914.1635202,92,0.423411797,0.342060727,ARIA-PI,12,0.962628655,"[[110.0, 20.700330306700618, 4.175, 'e']]",8879,1
A1,852.2864783,80,0.423325593,0.282951782,ARIA-PI,12,0.96211781,"[[110.0, 18.93221050542478, 4.175, 'e']]",5459,1
A1,840.0367091,72,0.423504268,0.286334067,ARIA-PI,12,0.976147817,"[[110.0, 20.249704363998017, 4.175, 'e']]",1449,1
A1,642.6399744,50,0.42316053,0.296367405,ARIA-PI,12,0.933648736,"[[110.0, 18.59990202576438, 4.175, 'e']]",4313,1
A1,791.3243734,72,0.42348171,0.300645983,ARIA-PI,12,0.960415255,"[[110.0, 19.449439082622778, 4.175, 'e']]",2929,1
A1,901.3615446,74,0.422882416,0.26585209,ARIA-PI,12,0.976300803,"[[110.0, 21.844417993638096, 4.175, 'e']]",8313,1
A1,769.2298755,72,0.423037449,0.341088773,ARIA-PI,12,0.962001118,"[[110.0, 18.403317746916432, 4.175, 'e']]",9494,1
A1,862.0077339,68,0.423255041,0.260167577,ARIA-PI,12,0.904864271,"[[110.0, 21.141396984488715, 4.175, 'e']]",6444,1
A1,885.5879527,83,0.423483673,0.392716042,ARIA-PI,12,0.925938522,"[[110.0, 19.459973790849837, 4.175, 'e']]",5427,1
A1,741.8373122,58,0.422741659,0.250369937,ARIA-PI,12,0.970563206,"[[110.0, 18.021510420025898, 4.175, 'e']]",7140,1
A1,768.3744699,60,0.423248048,0.250552056,ARIA-PI,12,0.963072081,"[[110.0, 21.157807240972012, 4.175, 'e']]",4889,1
A1,775.7450844,58,0.421054262,0.24071466,ARIA-PI,12,0.95392161,"[[110.0, 23.922713300009438, 4.175, 'e']]",247,1
A1,1008.400014,76,0.423467383,0.260192691,ARIA-PI,12,0.971836559,"[[110.0, 20.47267402761661, 4.175, 'e']]",9311,1
A1,973.2814259,88,0.423520906,0.32149204,ARIA-PI,12,0.94525589,"[[110.0, 19.766685055160995, 4.175, 'e']]",7453,1
A1,1006.583006,68,0.423403397,0.231626683,ARIA-PI,12,0.933852444,"[[110.0, 20.729469749475395, 4.175, 'e']]",4054,1
A1,932.3812324,71,0.422786097,0.306446363,ARIA-PI,12,0.922369488,"[[110.0, 18.073034728004526, 4.175, 'e']]",742,1
A1,757.0929655,67,0.421095553,0.239728014,ARIA-PI,12,0.924589227,"[[110.0, 16.717898334092283, 4.175, 'e']]",4945,1
A1,850.0462542,87,0.423429585,0.343789406,ARIA-PI,12,0.964653389,"[[110.0, 19.228911904913524, 4.175, 'e']]",9623,1
A1,462.6238627,59,0.422982144,0.494555193,ARIA-PI,12,0.821401641,"[[110.0, 21.68020056651134, 4.175, 'e']]",4313,2
A1,517.8207248,72,0.422909668,0.419083331,ARIA-PI,12,0.772468117,"[[110.0, 21.800721966667094, 4.175, 'e']]",2929,2
A1,656.4905441,101,0.422969311,0.571752922,ARIA-PI,12,0.868253176,"[[110.0, 21.702148498499312, 4.175, 'e']]",8313,2
