Benchmark,time,Nexps,objective,operating time ratio of the reactors,scheduling mode,Nreactors,operating time ratio of the analyzers,condition,random_seed,Ncombos
A1,1438.919224,54,0.42349247,0.597281055,ARIA-PI,3,0.653268081,"[[110.0, 19.510384502416045, 4.175, 'e']]",4313,1
A1,1385.721568,59,0.42304652,0.637888948,ARIA-PI,3,0.75051152,"[[110.0, 18.41676601072863, 4.175, 'e']]",2929,1
A1,1307.148932,53,0.423145421,0.638227073,ARIA-PI,3,0.749723292,"[[110.0, 21.378832244251516, 4.175, 'e']]",8313,1
A1,1426.096439,59,0.423078063,0.642394893,ARIA-PI,3,0.715239147,"[[110.0, 21.509019868074823, 4.175, 'e']]",9494,1
A1,1347.039902,55,0.42318845,0.594267449,ARIA-PI,3,0.697826396,"[[110.0, 21.2899095430511, 4.175, 'e']]",6444,1
A1,1473.539684,60,0.422809516,0.63160208,ARIA-PI,3,0.705783503,"[[110.0, 18.10094372295695, 4.175, 'e']]",5427,1
A1,1382.485584,52,0.423401781,0.643220262,ARIA-PI,3,0.708868151,"[[110.0, 20.7348574782832, 4.175, 'e']]",7140,1
A1,1307.93019,55,0.423516265,0.69187107,ARIA-PI,3,0.703401456,"[[110.0, 19.702251028402202, 4.175, 'e']]",4889,1
A1,983.9091003,43,0.423523559,0.610028181,ARIA-PI,3,0.813083241,"[[110.0, 19.82197601022976, 4.175, 'e']]",247,1
A1,969.9703866,40,0.421994546,0.518243346,ARIA-PI,3,0.783529075,"[[110.0, 22.989372385625003, 4.175, 'e']]",9311,1
A1,1329.062234,51,0.423516863,0.629675268,ARIA-PI,3,0.692217397,"[[110.0, 19.709344978111844, 4.175, 'e']]",7453,1
A1,949.6230273,41,0.423053292,0.563051415,ARIA-PI,3,0.800317577,"[[110.0, 21.55473287049942, 4.175, 'e']]",4054,1
A1,1405.228094,56,0.423485711,0.640002985,ARIA-PI,3,0.711628243,"[[110.0, 19.471047321578634, 4.175, 'e']]",742,1
A1,1305.834216,49,0.423324352,0.642115681,ARIA-PI,3,0.689214595,"[[110.0, 20.96735862159681, 4.175, 'e']]",4945,1
A1,1666.032956,69,0.423514298,0.612744997,ARIA-PI,3,0.75628756,"[[110.0, 20.157029020039307, 4.175, 'e']]",9623,1
A1,902.4105206,38,0.422956994,0.51641334,ARIA-PI,3,0.687048728,"[[110.0, 18.28910896120856, 4.175, 'e']]",5966,1
A1,1198.328804,52,0.42332615,0.673874968,ARIA-PI,3,0.767735864,"[[110.0, 18.933631854481995, 4.175, 'e']]",3130,1
A1,1203.208174,47,0.422316823,0.637706494,ARIA-PI,3,0.698133555,"[[110.0, 22.618628078730147, 4.175, 'e']]",6574,1
A1,950.8246067,41,0.420731751,0.606035608,ARIA-PI,3,0.757237449,"[[110.0, 24.20956796920913, 4.175, 'e']]",9297,1
A1,1603.704425,60,0.423299121,0.669271378,ARIA-PI,3,0.66096968,"[[110.0, 21.03353823982969, 4.175, 'e']]",6622,1
A1,1468.973958,61,0.423156093,0.62300069,ARIA-PI,3,0.721592098,"[[110.0, 18.592304073415573, 4.175, 'e']]",5710,1
A1,1124.341504,49,0.423484592,0.548201305,ARIA-PI,3,0.818256728,"[[110.0, 19.464991497043062, 4.175, 'e']]",9452,1
A1,1373.619981,54,0.423525068,0.677559369,ARIA-PI,3,0.669763117,"[[110.0, 19.88086338486979, 4.175, 'e']]",8451,1
A1,1117.175456,45,0.423243509,0.612419996,ARIA-PI,3,0.733993927,"[[110.0, 21.168257687347584, 4.175, 'e']]",4203,1
A1,1193.174764,49,0.422466144,0.677406472,ARIA-PI,3,0.704004162,"[[110.0, 22.432980083028944, 4.175, 'e']]",7692,1
A1,1093.015267,41,0.422292852,0.610448562,ARIA-PI,3,0.695324231,"[[110.0, 17.57392265302512, 4.175, 'e']]",9181,1
A1,1021.679948,40,0.422931945,0.610849498,ARIA-PI,3,0.763448477,"[[110.0, 21.76437065759929, 4.175, 'e']]",2103,1
A1,1247.372837,47,0.423502825,0.564398986,ARIA-PI,3,0.673415338,"[[110.0, 20.261042365258945, 4.175, 'e']]",8879,1
A1,1353.371386,50,0.423226872,0.67230678,ARIA-PI,3,0.665005932,"[[110.0, 21.20610599028432, 4.175, 'e']]",5459,1
A1,1589.292612,57,0.422558183,0.628669457,ARIA-PI,3,0.604042322,"[[110.0, 17.8245369287584, 4.175, 'e']]",1449,1
A1,452.3246609,62,0.421125124,0.557163243,ARIA-PI,9,0.736933805,"[[110.0, 16.73562082928366, 4.175, 'e']]",4313,3
A1,533.1534355,79,0.423087525,0.591745915,ARIA-PI,9,0.725244631,"[[110.0, 18.479599256268973, 4.175, 'e']]",2929,3
A1,586.3434536,79,0.423047235,0.695229162,ARIA-PI,9,0.659454223,"[[110.0, 21.565787817161453, 4.175, 'e']]",8313,3
A1,580.1800423,90,0.423489997,0.694047311,ARIA-PI,9,0.6549691,"[[110.0, 19.495516895655, 4.175, 'e']]",9494,3
A1,577.9514204,79,0.423523296,0.664391229,ARIA-PI,9,0.588284738,"[[110.0, 19.81500061184337, 4.175, 'e']]",6444,3
A1,643.2689149,79,0.42219741,0.664933839,ARIA-PI,9,0.632187655,"[[110.0, 22.76021985571317, 4.175, 'e']]",5427,3
A1,564.1671658,81,0.422976989,0.719213698,ARIA-PI,9,0.579024599,"[[110.0, 18.316529578656112, 4.175, 'e']]",7140,3
A1,348.7473707,42,0.423463072,0.657754925,ARIA-PI,9,0.59259706,"[[110.0, 20.4934023337863, 4.175, 'e']]",4889,3
A1,339.4230197,36,0.423396271,0.533480005,ARIA-PI,9,0.589235227,"[[110.0, 20.75349698087302, 4.175, 'e']]",247,3
